year,total_fatalities,pedestrian_fatalities,cyclist_fatalities,vehicle_occupant_fatalities,serious_injuries,high_injury_network_pct_of_fatalities,fatalities_in_equity_priority_areas,fatalities_east_austin,fatalities_north_austin,fatalities_south_austin,fatalities_central_austin,fatalities_west_austin,speeding_related_pct,impaired_driving_pct,hit_and_run_pct,hin_redesign_projects_completed,vision_zero_investment_usd,notes
2016,,,,,,,,,,,,,,,,,0,,Baseline year - Vision Zero adopted
2017,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,COVID year - traffic patterns altered
2021,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,Original target year for zero deaths
