Rank,Stop Name,Year,Year Total,Shelter,Benches,Weather,Safety (CapMetro/City),Sidewalk/ADA (City)
1,1609 Lavaca/17th (Midblock),2023,38,20,8,6,1,0
1,1609 Lavaca/17th (Midblock),2024,41,19,4,3,10,0
1,1609 Lavaca/17th (Midblock),2025,52,26,11,4,8,0
1,1609 Lavaca/17th (Midblock),2026,11,6,4,1,0,0
2,Guadalupe/16th Street,2023,41,26,7,3,2,3
2,Guadalupe/16th Street,2024,45,22,13,1,6,3
2,Guadalupe/16th Street,2025,38,19,9,2,7,1
2,Guadalupe/16th Street,2026,14,9,3,0,1,1
3,Lavaca/4th,2023,45,18,13,6,4,0
3,Lavaca/4th,2024,29,15,3,3,4,0
3,Lavaca/4th,2025,54,37,10,3,3,0
3,Lavaca/4th,2026,7,2,1,2,1,0
4,Guadalupe/W. 21st Street,2023,39,17,12,4,2,4
4,Guadalupe/W. 21st Street,2024,31,18,1,5,4,3
4,Guadalupe/W. 21st Street,2025,34,20,4,3,4,3
4,Guadalupe/W. 21st Street,2026,8,2,2,1,3,0
5,UT Dean Keeton Station (NB),2023,27,11,9,1,5,0
5,UT Dean Keeton Station (NB),2024,28,11,10,1,4,0
5,UT Dean Keeton Station (NB),2025,30,12,10,5,2,0
5,UT Dean Keeton Station (NB),2026,13,8,2,0,2,0
6,Vic Mathias/Auditorium Shores (SB),2023,30,21,2,2,2,0
6,Vic Mathias/Auditorium Shores (SB),2024,33,14,8,4,1,0
6,Vic Mathias/Auditorium Shores (SB),2025,25,13,6,2,4,0
6,Vic Mathias/Auditorium Shores (SB),2026,7,3,1,2,1,0
7,Guadalupe/4th,2023,24,9,11,1,2,1
7,Guadalupe/4th,2024,24,12,5,1,2,4
7,Guadalupe/4th,2025,36,17,10,3,5,1
7,Guadalupe/4th,2026,8,3,1,2,1,1
8,115 7Th/Colorado,2023,35,18,6,5,4,0
8,115 7Th/Colorado,2024,23,13,4,4,0,0
8,115 7Th/Colorado,2025,29,17,5,4,0,0
8,115 7Th/Colorado,2026,1,1,0,0,0,0
9,501 Pleasant Valley/5th,2023,30,15,7,5,2,0
9,501 Pleasant Valley/5th,2024,22,10,5,3,3,0
9,501 Pleasant Valley/5th,2025,26,13,5,5,2,0
9,501 Pleasant Valley/5th,2026,7,4,3,0,0,0
10,Republic Square Station (NB),2023,19,8,4,1,4,0
10,Republic Square Station (NB),2024,30,18,6,2,3,0
10,Republic Square Station (NB),2025,25,11,7,2,2,0
10,Republic Square Station (NB),2026,8,5,1,1,0,0
11,Northcross Station (SB),2023,27,17,8,1,0,0
11,Northcross Station (SB),2024,19,11,1,5,2,0
11,Northcross Station (SB),2025,28,10,5,5,4,0
11,Northcross Station (SB),2026,4,2,0,0,1,0
12,Bluebonnet Station (SB),2023,17,11,1,3,1,0
12,Bluebonnet Station (SB),2024,20,6,4,4,5,0
12,Bluebonnet Station (SB),2025,27,11,10,2,3,0
12,Bluebonnet Station (SB),2026,11,5,4,0,1,0
13,West 38th Station (SB),2023,26,13,5,4,2,0
13,West 38th Station (SB),2024,23,14,5,2,2,0
13,West 38th Station (SB),2025,20,12,2,2,2,0
13,West 38th Station (SB),2026,3,2,0,1,0,0
14,8th Street NB (Trinity/8th),2023,16,5,5,2,3,0
14,8th Street NB (Trinity/8th),2024,26,12,9,1,3,0
14,8th Street NB (Trinity/8th),2025,17,6,7,2,2,0
14,8th Street NB (Trinity/8th),2026,9,5,2,0,2,0
15,North Lamar Transit Center,2023,29,12,7,3,6,0
15,North Lamar Transit Center,2024,11,5,5,0,1,0
15,North Lamar Transit Center,2025,20,7,8,2,1,0
15,North Lamar Transit Center,2026,7,3,4,0,0,0
