Rank,Stop Name,Total Calls,SR Number,Complaint Description,Category,Responsible Party,Year,Status,Created Date
1,1609 Lavaca/17th (Midblock),142,SR23000000,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Weather Exposure,CapMetro,2024,Open,02/25/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000001,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2024,Open,06/28/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000002,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2023,Closed,08/18/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000003,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Missing Benches,CapMetro,2023,Open,08/07/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000004,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2026,Open,02/12/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000005,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2025,Closed,02/12/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000006,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2026,Open,02/15/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000007,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2024,Open,06/14/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000008,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Missing Shelter,CapMetro,2023,Open,10/15/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000009,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Weather Exposure,CapMetro,2023,Open,05/07/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000010,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2026,Open,02/18/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000011,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2023,Open,11/21/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000012,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Missing Benches,CapMetro,2024,Open,01/13/2024 12:00:00 AM
