Rank,Stop Name,Total Calls,Missing Shelter,Missing Benches,Weather Issues,Safety Issues,Sidewalk/ADA,2023 Total,2024 Total,2025 Total,2026 Total,CapMetro Issues,City of Austin Issues
1,1609 Lavaca/17th (Midblock),142,71,27,14,19,0,38,41,52,11,112,19
2,Guadalupe/16th Street,138,76,32,6,16,8,41,45,38,14,114,24
3,Lavaca/4th,135,72,27,14,12,0,45,29,54,7,113,12
4,Guadalupe/W. 21st Street,112,57,19,13,13,10,39,31,34,8,89,23
5,UT Dean Keeton Station (NB),98,42,31,7,13,0,27,28,30,13,80,13
6,Vic Mathias/Auditorium Shores (SB),95,51,17,10,8,0,30,33,25,7,78,8
7,Guadalupe/4th,92,41,27,7,10,7,24,24,36,8,75,17
8,115 7Th/Colorado,88,49,15,13,4,0,35,23,29,1,77,4
9,501 Pleasant Valley/5th,85,42,20,13,7,0,30,22,26,7,75,7
10,Republic Square Station (NB),82,42,18,6,9,0,19,30,25,8,66,9
11,Northcross Station (SB),78,40,14,11,7,0,27,19,28,4,65,7
12,Bluebonnet Station (SB),75,33,19,9,10,0,17,20,27,11,61,10
13,West 38th Station (SB),72,41,12,9,6,0,26,23,20,3,62,6
14,8th Street NB (Trinity/8th),68,28,23,5,10,0,16,26,17,9,56,10
15,North Lamar Transit Center,67,27,24,5,8,0,29,11,20,7,56,8
