Rank,Stop Name,Category,Responsible Party,SR Number,Complaint Description,Status,Created Date,Close Date,Age Days,Age Years,Duplicate After Closed,Year,ADA Match Type,Normalized Stop Name
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000175,Missing seating at Guadalupe/16th Street transit stop,Open,2023-01-18,,1180,3.232876712328767,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000193,Missing seating at Guadalupe/16th Street transit stop,Open,2023-03-01,,1138,3.117808219178082,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000223,No benches at Guadalupe/16th Street bus stop,Closed,2023-05-31,2023-05-31,0,0.0,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000187,No benches at Guadalupe/16th Street bus stop,Open,2023-07-05,,1012,2.7726027397260276,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000184,No benches at Guadalupe/16th Street bus stop,Closed,2023-10-10,2023-10-10,0,0.0,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000220,Missing seating at Guadalupe/16th Street transit stop,Open,2023-11-14,,880,2.410958904109589,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000256,Request bench installation at Guadalupe/16th Street,Closed,2023-12-13,2023-12-13,0,0.0,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000147,Request bench installation at Guadalupe/16th Street,Open,2024-01-17,,816,2.2356164383561645,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000217,Missing seating at Guadalupe/16th Street transit stop,Open,2024-03-03,,770,2.1095890410958904,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000219,Request bench installation at Guadalupe/16th Street,Open,2024-04-03,,739,2.0246575342465754,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000262,Request bench installation at Guadalupe/16th Street,Open,2024-04-12,,730,2.0,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000177,Request bench installation at Guadalupe/16th Street,Open,2024-05-23,,689,1.8876712328767122,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000168,No benches at Guadalupe/16th Street bus stop,Open,2024-07-03,,648,1.7753424657534247,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000235,Missing seating at Guadalupe/16th Street transit stop,Open,2024-07-07,,644,1.7643835616438357,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000194,No benches at Guadalupe/16th Street bus stop,Open,2024-07-18,,633,1.7342465753424658,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000275,No benches at Guadalupe/16th Street bus stop,Open,2024-08-16,,604,1.6547945205479453,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000251,Missing seating at Guadalupe/16th Street transit stop,Open,2024-09-13,,576,1.5780821917808219,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000231,Request bench installation at Guadalupe/16th Street,Open,2024-09-18,,571,1.5643835616438355,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000250,Missing seating at Guadalupe/16th Street transit stop,Open,2024-11-11,,517,1.4164383561643836,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000249,Request bench installation at Guadalupe/16th Street,Closed,2024-11-18,2024-11-18,0,0.0,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000248,No benches at Guadalupe/16th Street bus stop,Open,2025-04-07,,370,1.0136986301369864,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000203,No benches at Guadalupe/16th Street bus stop,Open,2025-05-13,,334,0.915068493150685,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000181,Missing seating at Guadalupe/16th Street transit stop,Open,2025-05-25,,322,0.8821917808219178,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000234,No benches at Guadalupe/16th Street bus stop,Open,2025-05-31,,316,0.8657534246575342,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000153,Missing seating at Guadalupe/16th Street transit stop,Closed,2025-06-21,2025-06-21,0,0.0,No,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000188,No benches at Guadalupe/16th Street bus stop,Open,2025-07-17,,269,0.736986301369863,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000213,Missing seating at Guadalupe/16th Street transit stop,Open,2025-11-02,,161,0.4410958904109589,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000142,Missing seating at Guadalupe/16th Street transit stop,Closed,2025-11-20,2025-11-20,0,0.0,No,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000268,Request bench installation at Guadalupe/16th Street,Open,2025-11-25,,138,0.3780821917808219,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000254,Request bench installation at Guadalupe/16th Street,Open,2026-01-18,,84,0.23013698630136986,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000229,No benches at Guadalupe/16th Street bus stop,Open,2026-01-28,,74,0.20273972602739726,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Benches,CapMetro,SR23000160,Missing seating at Guadalupe/16th Street transit stop,Open,2026-03-25,,18,0.049315068493150684,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000211,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2023-01-19,,1179,3.23013698630137,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000159,Request shelter installation at Guadalupe/16th Street,Closed,2023-01-25,2023-01-25,0,0.0,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000278,Request shelter installation at Guadalupe/16th Street,Open,2023-01-31,,1167,3.197260273972603,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000162,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2023-03-09,,1130,3.095890410958904,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000258,No shelter at Guadalupe/16th Street transit stop,Open,2023-03-21,,1118,3.063013698630137,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000274,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Closed,2023-04-08,2023-04-08,0,0.0,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000171,Transit stop Guadalupe/16th Street needs weather shelter,Open,2023-04-20,,1088,2.9808219178082194,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000185,Request shelter installation at Guadalupe/16th Street,Open,2023-06-05,,1042,2.8547945205479452,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000191,Request shelter installation at Guadalupe/16th Street,Open,2023-06-17,,1030,2.8219178082191783,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000196,No weather protection at Guadalupe/16th Street transit stop,Open,2023-06-19,,1028,2.8164383561643835,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000163,Transit stop Guadalupe/16th Street needs weather shelter,Open,2023-06-22,,1025,2.808219178082192,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000236,Request shelter installation at Guadalupe/16th Street,Open,2023-07-03,,1014,2.778082191780822,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000144,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2023-07-14,,1003,2.747945205479452,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000176,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2023-07-24,,993,2.7205479452054795,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000242,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2023-07-30,,987,2.7041095890410958,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000155,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2023-08-09,,977,2.6767123287671235,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000143,Request shelter installation at Guadalupe/16th Street,Closed,2023-09-15,2023-09-15,0,0.0,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000264,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2023-10-02,,923,2.5287671232876714,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000261,No shelter at Guadalupe/16th Street transit stop,Open,2023-10-06,,919,2.5178082191780824,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000182,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2023-10-13,,912,2.4986301369863013,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000246,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Closed,2023-11-01,2023-11-01,0,0.0,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000152,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2023-11-12,,882,2.4164383561643836,Yes,2023,Keyword Match,guadalupe/16th street
