Equity Rank,Stop Name,Weekly Trips,Amenity Gap,Total 311 Calls,Response Rate,Avg Open Ticket Age (Days),Total Reopened Duplicates,Missing Shelter Reports,Missing Benches Reports,Weather Exposure Reports,Safety Concerns Reports
1,1609 Lavaca/17th (Midblock),2215,2,142,20%,507.75,82,68,27,43,19
2,Guadalupe/16th Street,2156,2,138,16%,507.8,94,73,32,35,16
3,Lavaca/4th,2147,2,135,21%,509.55,88,61,27,42,12
4,Guadalupe/W. 21st Street,1994,2,112,19%,496.40000000000003,71,47,19,33,13
5,UT Dean Keeton Station (NB),1843,2,98,29%,488.0,60,39,31,23,13
6,Vic Mathias/Auditorium Shores (SB),1831,2,95,25%,500.125,48,47,17,36,8
7,Guadalupe/4th,1813,2,92,18%,502.3,53,38,27,25,10
8,115 7Th/Colorado,1740,2,88,23%,502.3,47,47,15,28,4
9,501 Pleasant Valley/5th,1554,2,85,21%,498.475,48,37,20,33,7
10,Republic Square Station (NB),1495,2,82,22%,509.9,47,36,18,24,9
11,Northcross Station (SB),1494,2,78,23%,490.425,33,36,14,27,7
12,Bluebonnet Station (SB),1486,2,75,31%,507.2,40,29,19,21,10
13,West 38th Station (SB),1471,2,72,24%,495.82500000000005,39,41,12,21,6
14,8th Street NB (Trinity/8th),1435,2,68,35%,496.25,34,26,23,17,10
15,North Lamar Transit Center,1432,2,67,22%,508.8,39,24,24,16,8
