Stop Name,Total Calls,Response Rate,Missing Shelter,Missing Benches,Weather Exposure,Safety Concerns,2023 Calls,2024 Calls,2025 Calls,2026 Calls
1609 Lavaca/17th (Midblock),142,20%,68,27,43,19,38,41,52,11
Guadalupe/16th Street,138,16%,73,32,35,16,41,45,38,14
Lavaca/4th,135,21%,61,27,42,12,45,29,54,7
Guadalupe/W. 21st Street,112,19%,47,19,33,13,39,31,34,8
UT Dean Keeton Station (NB),98,29%,39,31,23,13,27,28,30,13
Vic Mathias/Auditorium Shores (SB),95,25%,47,17,36,8,30,33,25,7
Guadalupe/4th,92,18%,38,27,25,10,24,24,36,8
115 7Th/Colorado,88,23%,47,15,28,4,35,23,29,1
501 Pleasant Valley/5th,85,21%,37,20,33,7,30,22,26,7
Republic Square Station (NB),82,22%,36,18,24,9,19,30,25,8
Northcross Station (SB),78,23%,36,14,27,7,27,19,28,4
Bluebonnet Station (SB),75,31%,29,19,21,10,17,20,27,11
West 38th Station (SB),72,24%,41,12,21,6,26,23,20,3
8th Street NB (Trinity/8th),68,35%,26,23,17,10,16,26,17,9
North Lamar Transit Center,67,22%,24,24,16,8,29,11,20,7
