Equity Rank,Stop Name,Weekly Trips,Total 311 Calls,CapMetro Issues,City of Austin Issues,CapMetro %,City of Austin %
1,1609 Lavaca/17th (Midblock),2215,142,112,19,78.9,13.4
2,Guadalupe/16th Street,2156,138,114,24,82.6,17.4
3,Lavaca/4th,2147,135,113,12,83.7,8.9
4,Guadalupe/W. 21st Street,1994,112,89,23,79.5,20.5
5,UT Dean Keeton Station (NB),1843,98,80,13,81.6,13.3
6,Vic Mathias/Auditorium Shores (SB),1831,95,78,8,82.1,8.4
7,Guadalupe/4th,1813,92,75,17,81.5,18.5
8,115 7Th/Colorado,1740,88,77,4,87.5,4.5
9,501 Pleasant Valley/5th,1554,85,75,7,88.2,8.2
10,Republic Square Station (NB),1495,82,66,9,80.5,11.0
11,Northcross Station (SB),1494,78,65,7,83.3,9.0
12,Bluebonnet Station (SB),1486,75,61,10,81.3,13.3
13,West 38th Station (SB),1471,72,62,6,86.1,8.3
14,8th Street NB (Trinity/8th),1435,68,56,10,82.4,14.7
15,North Lamar Transit Center,1432,67,56,8,83.6,11.9
