Stop Name,Total Calls,SR Number,Complaint Description,Status,Created Date,Is Safety Concern
115 7Th/Colorado,88,SR23000888,Safety concerns at 115 7Th/Colorado bus stop after dark,Open,05/12/2023 12:00:00 AM,Yes
115 7Th/Colorado,88,SR23000869,Safety concerns at 115 7Th/Colorado bus stop after dark,Open,09/30/2023 12:00:00 AM,Yes
115 7Th/Colorado,88,SR23000866,Feeling unsafe waiting at 115 7Th/Colorado,Open,11/11/2023 12:00:00 AM,Yes
115 7Th/Colorado,88,SR23000818,Request safety improvements at 115 7Th/Colorado stop,Open,12/29/2023 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000013,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),Open,01/01/2025 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000034,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Open,01/20/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000077,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),Open,01/29/2025 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000103,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Open,03/22/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000120,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Open,03/30/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000070,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Open,04/10/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000015,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Open,04/14/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000088,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Open,04/18/2025 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000031,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Open,05/10/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000020,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Open,06/02/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000026,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Open,06/03/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000016,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Open,06/13/2025 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000104,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Open,06/19/2025 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000127,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Open,06/19/2025 12:00:00 AM,Yes
