Rank,Stop Name,Category,Responsible Party,SR Number,Complaint Description,Status,Created Date,Close Date,Age Days,Age Years,Duplicate After Closed,Year
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000874,Request bench installation at 115 7Th/Colorado,Open,2023-01-26,,1172,3.210958904109589,No,2023
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000883,No benches at 115 7Th/Colorado bus stop,Open,2023-03-16,,1123,3.0767123287671234,No,2023
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000899,Request bench installation at 115 7Th/Colorado,Open,2023-07-30,,987,2.7041095890410958,No,2023
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000813,Request bench installation at 115 7Th/Colorado,Open,2023-08-01,,985,2.6986301369863015,No,2023
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000895,No benches at 115 7Th/Colorado bus stop,Open,2023-08-26,,960,2.6301369863013697,No,2023
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000832,No benches at 115 7Th/Colorado bus stop,Open,2023-12-26,,838,2.2958904109589042,No,2023
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000854,No benches at 115 7Th/Colorado bus stop,Open,2024-02-09,,793,2.1726027397260275,No,2024
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000848,Request bench installation at 115 7Th/Colorado,Open,2024-06-12,,669,1.832876712328767,No,2024
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000816,Missing seating at 115 7Th/Colorado transit stop,Open,2024-06-23,,658,1.8027397260273972,No,2024
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000835,No benches at 115 7Th/Colorado bus stop,Closed,2024-11-11,2024-11-11,0,0.0,No,2024
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000865,No benches at 115 7Th/Colorado bus stop,Open,2025-02-13,,423,1.158904109589041,Yes,2025
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000849,No benches at 115 7Th/Colorado bus stop,Open,2025-05-10,,337,0.9232876712328767,Yes,2025
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000817,No benches at 115 7Th/Colorado bus stop,Closed,2025-08-16,2025-08-16,0,0.0,No,2025
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000843,Missing seating at 115 7Th/Colorado transit stop,Closed,2025-12-05,2025-12-05,0,0.0,No,2025
8,115 7Th/Colorado,Missing Benches,CapMetro,SR23000882,No benches at 115 7Th/Colorado bus stop,Open,2025-12-30,,103,0.2821917808219178,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000840,Transit stop 115 7Th/Colorado needs weather shelter,Open,2023-01-22,,1176,3.221917808219178,No,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000847,Request shelter installation at 115 7Th/Colorado,Open,2023-01-22,,1176,3.221917808219178,No,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000889,Transit stop 115 7Th/Colorado needs shelter for rider protection,Closed,2023-04-26,2023-04-26,0,0.0,No,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000898,Request shelter installation at 115 7Th/Colorado,Closed,2023-05-11,2023-05-11,0,0.0,No,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000867,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2023-05-17,,1061,2.9068493150684933,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000831,No shelter at 115 7Th/Colorado transit stop,Open,2023-05-19,,1059,2.9013698630136986,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000852,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Closed,2023-05-19,2023-05-19,0,0.0,No,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000837,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2023-05-30,,1048,2.871232876712329,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000833,Transit stop 115 7Th/Colorado needs weather shelter,Open,2023-09-05,,950,2.6027397260273974,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000834,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Open,2023-09-10,,945,2.589041095890411,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000870,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2023-09-24,,931,2.5506849315068494,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000856,Transit stop 115 7Th/Colorado needs weather shelter,Closed,2023-10-03,2023-10-03,0,0.0,No,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000853,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Open,2023-10-04,,921,2.5232876712328767,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000862,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2023-10-20,,905,2.4794520547945207,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000892,No shelter at 115 7Th/Colorado transit stop,Open,2023-10-26,,899,2.463013698630137,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000868,No shelter at 115 7Th/Colorado transit stop,Closed,2023-11-04,2023-11-04,0,0.0,No,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000864,Request shelter installation at 115 7Th/Colorado,Open,2023-12-06,,858,2.350684931506849,Yes,2023
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000885,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Open,2023-12-28,,836,2.2904109589041095,Yes,2023
