Stop Name,Year,Total Calls,Open Calls,Avg Age Open (Days),Avg Age Closed (Days),Reopened Duplicate Calls
1609 Lavaca/17th (Midblock),2023,38,32,1018.1,0.0,16
1609 Lavaca/17th (Midblock),2024,41,34,652.6,0.0,22
1609 Lavaca/17th (Midblock),2025,52,38,305.4,0.0,35
1609 Lavaca/17th (Midblock),2026,11,9,54.9,0.0,9
Guadalupe/16th Street,2023,41,32,1011.0,0.0,24
Guadalupe/16th Street,2024,45,41,663.9,0.0,32
Guadalupe/16th Street,2025,38,31,300.1,0.0,27
Guadalupe/16th Street,2026,14,12,56.2,0.0,11
Lavaca/4th,2023,45,34,1037.0,0.0,20
Lavaca/4th,2024,29,27,676.7,0.0,27
Lavaca/4th,2025,54,40,269.1,0.0,37
Lavaca/4th,2026,7,5,55.4,0.0,4
Guadalupe/W. 21st Street,2023,39,31,999.2,0.0,17
Guadalupe/W. 21st Street,2024,31,23,639.1,0.0,18
Guadalupe/W. 21st Street,2025,34,30,292.4,0.0,29
Guadalupe/W. 21st Street,2026,8,7,54.9,0.0,7
UT Dean Keeton Station (NB),2023,27,18,1002.6,0.0,12
UT Dean Keeton Station (NB),2024,28,20,636.2,0.0,19
UT Dean Keeton Station (NB),2025,30,23,264.4,0.0,20
UT Dean Keeton Station (NB),2026,13,9,48.8,0.0,9
Vic Mathias/Auditorium Shores (SB),2023,30,22,1015.8,0.0,16
Vic Mathias/Auditorium Shores (SB),2024,33,27,642.4,0.0,17
Vic Mathias/Auditorium Shores (SB),2025,25,17,264.9,0.0,11
Vic Mathias/Auditorium Shores (SB),2026,7,5,77.4,0.0,4
Guadalupe/4th,2023,24,19,1008.3,0.0,8
Guadalupe/4th,2024,24,20,663.7,0.0,16
Guadalupe/4th,2025,36,30,275.4,0.0,24
Guadalupe/4th,2026,8,6,61.8,0.0,5
115 7Th/Colorado,2023,35,29,988.2,0.0,14
115 7Th/Colorado,2024,23,19,653.3,0.0,14
115 7Th/Colorado,2025,29,19,288.7,0.0,18
115 7Th/Colorado,2026,1,1,79.0,,1
501 Pleasant Valley/5th,2023,30,23,1024.5,0.0,6
501 Pleasant Valley/5th,2024,22,16,645.7,0.0,15
501 Pleasant Valley/5th,2025,26,22,292.2,0.0,21
501 Pleasant Valley/5th,2026,7,6,31.5,0.0,6
Republic Square Station (NB),2023,19,13,1024.6,0.0,6
Republic Square Station (NB),2024,30,24,672.5,0.0,19
Republic Square Station (NB),2025,25,19,301.9,0.0,15
Republic Square Station (NB),2026,8,8,40.6,,7
Northcross Station (SB),2023,27,22,985.4,0.0,11
Northcross Station (SB),2024,19,14,651.0,0.0,8
Northcross Station (SB),2025,28,22,294.3,0.0,12
Northcross Station (SB),2026,4,2,31.0,0.0,2
Bluebonnet Station (SB),2023,17,14,1032.1,0.0,6
Bluebonnet Station (SB),2024,20,14,631.9,0.0,10
Bluebonnet Station (SB),2025,27,17,302.5,0.0,17
Bluebonnet Station (SB),2026,11,7,62.3,0.0,7
West 38th Station (SB),2023,26,19,1061.4,0.0,6
West 38th Station (SB),2024,23,19,590.9,0.0,18
West 38th Station (SB),2025,20,15,292.0,0.0,13
West 38th Station (SB),2026,3,2,39.0,0.0,2
8th Street NB (Trinity/8th),2023,16,11,987.3,0.0,2
8th Street NB (Trinity/8th),2024,26,15,660.4,0.0,14
8th Street NB (Trinity/8th),2025,17,11,285.4,0.0,11
8th Street NB (Trinity/8th),2026,9,7,51.9,0.0,7
North Lamar Transit Center,2023,29,22,1019.3,0.0,13
North Lamar Transit Center,2024,11,11,689.6,,11
North Lamar Transit Center,2025,20,16,276.6,0.0,12
North Lamar Transit Center,2026,7,3,49.7,0.0,3
