geoid,tract_name,countyfp,centroid_lat,centroid_lon,council_district
48453000402,Census Tract 4.02,453,30.284139,-97.715524,1
48453000802,Census Tract 8.02,453,30.273553,-97.707989,1
48453000803,Census Tract 8.03,453,30.276812,-97.720472,1
48453000804,Census Tract 8.04,453,30.270091,-97.721945,1
48453000901,Census Tract 9.01,453,30.265568,-97.72374,1
48453002107,Census Tract 21.07,453,30.295667,-97.682861,1
48453002108,Census Tract 21.08,453,30.297425,-97.668947,1
48453002109,Census Tract 21.09,453,30.281509,-97.690577,1
48453002110,Census Tract 21.10,453,30.274092,-97.677222,1
48453002113,Census Tract 21.13,453,30.31713,-97.672428,1
48453002201,Census Tract 22.01,453,30.318176,-97.655726,1
48453002213,Census Tract 22.13,453,30.288156,-97.640492,1
48453002214,Census Tract 22.14,453,30.276397,-97.653606,1
48453002219,Census Tract 22.19,453,30.280483,-97.537715,1
48453002220,Census Tract 22.20,453,30.316972,-97.639606,1
48453002222,Census Tract 22.22,453,30.300493,-97.633264,1
48453040200,Census Tract 402,453,30.326172,-97.685011,1
48453041500,Census Tract 415,453,30.380148,-97.66882,1
48453041600,Census Tract 416,453,30.364004,-97.676497,1
48453043500,Census Tract 435,453,30.362156,-97.659025,1
48453043600,Census Tract 436,453,30.337933,-97.662155,1
48453043700,Census Tract 437,453,30.392312,-97.667325,1
48453043800,Census Tract 438,453,30.383796,-97.658307,1
48453044000,Census Tract 440,453,30.398685,-97.663223,1
48453044900,Census Tract 449,453,30.391408,-97.622257,1
48453045000,Census Tract 450,453,30.371292,-97.641047,1
48453002409,Census Tract 24.09,453,30.207529,-97.793578,2
48453002410,Census Tract 24.10,453,30.20577,-97.786664,2
48453002411,Census Tract 24.11,453,30.20528,-97.748918,2
48453002412,Census Tract 24.12,453,30.189396,-97.751485,2
48453002413,Census Tract 24.13,453,30.197092,-97.740271,2
48453002419,Census Tract 24.19,453,30.191277,-97.760895,2
48453002422,Census Tract 24.22,453,30.183439,-97.784813,2
48453002430,Census Tract 24.30,453,30.171778,-97.754776,2
48453002432,Census Tract 24.32,453,30.130245,-97.71956,2
48453002439,Census Tract 24.39,453,30.162917,-97.751106,2
48453002441,Census Tract 24.41,453,30.182004,-97.768022,2
48453002442,Census Tract 24.42,453,30.178306,-97.755261,2
48453002443,Census Tract 24.43,453,30.199329,-97.771094,2
48453002444,Census Tract 24.44,453,30.203987,-97.779092,2
48453002447,Census Tract 24.47,453,30.204895,-97.727938,2
48453002448,Census Tract 24.48,453,30.191958,-97.715274,2
48453002449,Census Tract 24.49,453,30.159678,-97.656321,2
48453980000,Census Tract 9800,453,30.194663,-97.666661,2
48453000801,Census Tract 8.01,453,30.266932,-97.701464,3
48453000902,Census Tract 9.02,453,30.259192,-97.71597,3
48453001000,Census Tract 10,453,30.252831,-97.725829,3
48453001307,Census Tract 13.07,453,30.236349,-97.7686,3
48453001308,Census Tract 13.08,453,30.232737,-97.761763,3
48453002003,Census Tract 20.03,453,30.219192,-97.774589,3
48453002111,Census Tract 21.11,453,30.257132,-97.68541,3
48453002304,Census Tract 23.04,453,30.243463,-97.723304,3
48453002307,Census Tract 23.07,453,30.223105,-97.740966,3
48453002313,Census Tract 23.13,453,30.22018,-97.72602,3
48453002314,Census Tract 23.14,453,30.224695,-97.715516,3
48453002315,Census Tract 23.15,453,30.233923,-97.732135,3
48453002316,Census Tract 23.16,453,30.23927,-97.730423,3
48453002320,Census Tract 23.20,453,30.221926,-97.695175,3
48453002321,Census Tract 23.21,453,30.231893,-97.693976,3
48453002322,Census Tract 23.22,453,30.223013,-97.755666,3
48453002323,Census Tract 23.23,453,30.232499,-97.75025,3
48453002324,Census Tract 23.24,453,30.235129,-97.718873,3
48453002325,Census Tract 23.25,453,30.231476,-97.706495,3
48453002326,Census Tract 23.26,453,30.244493,-97.712542,3
48453002327,Census Tract 23.27,453,30.24058,-97.702685,3
48453002403,Census Tract 24.03,453,30.212063,-97.762234,3
48453001503,Census Tract 15.03,453,30.327256,-97.715769,4
48453002104,Census Tract 21.04,453,30.314734,-97.696573,4
48453002105,Census Tract 21.05,453,30.314913,-97.705598,4
48453002106,Census Tract 21.06,453,30.30672,-97.690323,4
48453002112,Census Tract 21.12,453,30.313924,-97.682598,4
48453040000,Census Tract 400,453,30.341939,-97.707324,4
48453040100,Census Tract 401,453,30.357195,-97.710326,4
48453040300,Census Tract 403,453,30.345101,-97.687554,4
48453040500,Census Tract 405,453,30.360208,-97.72221,4
48453040600,Census Tract 406,453,30.363422,-97.702667,4
48453040700,Census Tract 407,453,30.371805,-97.714827,4
48453040800,Census Tract 408,453,30.38098,-97.708605,4
48453040900,Census Tract 409,453,30.374191,-97.696321,4
48453041000,Census Tract 410,453,30.3701,-97.686897,4
48453043100,Census Tract 431,453,30.356804,-97.694596,4
48453043200,Census Tract 432,453,30.350599,-97.700617,4
48453043300,Census Tract 433,453,30.33294,-97.69564,4
48453043400,Census Tract 434,453,30.326327,-97.700311,4
48453001304,Census Tract 13.04,453,30.248406,-97.773434,5
48453001309,Census Tract 13.09,453,30.261319,-97.763936,5
