Year,Stop Name,Photo Path,Shelter,Bench,Shade,ADA Accessible,Lighting,Notes
2021,501 Pleasant Valley/5th,,,,,,,
2022,501 Pleasant Valley/5th,,,,,,,
2023,501 Pleasant Valley/5th,,,,,,,
2024,501 Pleasant Valley/5th,,,,,,,
2025,501 Pleasant Valley/5th,,,,,,,
2026,501 Pleasant Valley/5th,,,,,,,
2021,North Lamar Transit Center,,,,,,,
2022,North Lamar Transit Center,,,,,,,
2023,North Lamar Transit Center,,,,,,,
2024,North Lamar Transit Center,,,,,,,
2025,North Lamar Transit Center,,,,,,,
2026,North Lamar Transit Center,,,,,,,
2021,Bluebonnet Station (SB),,,,,,,
2022,Bluebonnet Station (SB),,,,,,,
2023,Bluebonnet Station (SB),,,,,,,
2024,Bluebonnet Station (SB),,,,,,,
2025,Bluebonnet Station (SB),,,,,,,
2026,Bluebonnet Station (SB),,,,,,,
2021,Northcross Station (SB),,,,,,,
2022,Northcross Station (SB),,,,,,,
2023,Northcross Station (SB),,,,,,,
2024,Northcross Station (SB),,,,,,,
2025,Northcross Station (SB),,,,,,,
2026,Northcross Station (SB),,,,,,,
2021,1609 Lavaca/17th (Midblock),,,,,,,
2022,1609 Lavaca/17th (Midblock),,,,,,,
2023,1609 Lavaca/17th (Midblock),,,,,,,
2024,1609 Lavaca/17th (Midblock),,,,,,,
2025,1609 Lavaca/17th (Midblock),,,,,,,
2026,1609 Lavaca/17th (Midblock),,,,,,,
2021,Guadalupe/16th Street,,,,,,,
2022,Guadalupe/16th Street,,,,,,,
2023,Guadalupe/16th Street,,,,,,,
2024,Guadalupe/16th Street,,,,,,,
2025,Guadalupe/16th Street,,,,,,,
2026,Guadalupe/16th Street,,,,,,,
2021,Lavaca/4th,,,,,,,
2022,Lavaca/4th,,,,,,,
2023,Lavaca/4th,,,,,,,
2024,Lavaca/4th,,,,,,,
2025,Lavaca/4th,,,,,,,
2026,Lavaca/4th,,,,,,,
2021,Guadalupe/W. 21st Street,,,,,,,
2022,Guadalupe/W. 21st Street,,,,,,,
2023,Guadalupe/W. 21st Street,,,,,,,
2024,Guadalupe/W. 21st Street,,,,,,,
2025,Guadalupe/W. 21st Street,,,,,,,
2026,Guadalupe/W. 21st Street,,,,,,,
2021,UT Dean Keeton (NB),,,,,,,
2022,UT Dean Keeton (NB),,,,,,,
2023,UT Dean Keeton (NB),,,,,,,
2024,UT Dean Keeton (NB),,,,,,,
2025,UT Dean Keeton (NB),,,,,,,
2026,UT Dean Keeton (NB),,,,,,,
2021,Vic Mathias/Auditorium Shores (SB),,,,,,,
2022,Vic Mathias/Auditorium Shores (SB),,,,,,,
2023,Vic Mathias/Auditorium Shores (SB),,,,,,,
2024,Vic Mathias/Auditorium Shores (SB),,,,,,,
2025,Vic Mathias/Auditorium Shores (SB),,,,,,,
2026,Vic Mathias/Auditorium Shores (SB),,,,,,,
2021,Guadalupe/4th,,,,,,,
2022,Guadalupe/4th,,,,,,,
2023,Guadalupe/4th,,,,,,,
2024,Guadalupe/4th,,,,,,,
2025,Guadalupe/4th,,,,,,,
2026,Guadalupe/4th,,,,,,,
2021,115 7th/Colorado,,,,,,,
2022,115 7th/Colorado,,,,,,,
2023,115 7th/Colorado,,,,,,,
2024,115 7th/Colorado,,,,,,,
2025,115 7th/Colorado,,,,,,,
2026,115 7th/Colorado,,,,,,,
2021,Republic Square (NB),,,,,,,
2022,Republic Square (NB),,,,,,,
2023,Republic Square (NB),,,,,,,
2024,Republic Square (NB),,,,,,,
2025,Republic Square (NB),,,,,,,
2026,Republic Square (NB),,,,,,,
2021,8th Street NB (Trinity/8th),,,,,,,
2022,8th Street NB (Trinity/8th),,,,,,,
2023,8th Street NB (Trinity/8th),,,,,,,
2024,8th Street NB (Trinity/8th),,,,,,,
2025,8th Street NB (Trinity/8th),,,,,,,
2026,8th Street NB (Trinity/8th),,,,,,,
2021,West 38th Station (SB),,,,,,,
2022,West 38th Station (SB),,,,,,,
2023,West 38th Station (SB),,,,,,,
2024,West 38th Station (SB),,,,,,,
2025,West 38th Station (SB),,,,,,,
2026,West 38th Station (SB),,,,,,,
