Service Request (SR) Number,SR Description,Owning Department,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
SR23000000,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Transportation,Phone,Open,02/25/2024 12:00:00 AM,02/25/2024 12:00:00 AM,02/25/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000001,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,06/28/2024 12:00:00 AM,06/28/2024 12:00:00 AM,06/28/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000002,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Transportation,Phone,Closed,08/18/2023 12:00:00 AM,08/18/2023 12:00:00 AM,08/18/2023 12:00:00 AM,08/18/2023 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000003,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Open,08/07/2023 12:00:00 AM,08/07/2023 12:00:00 AM,08/07/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000004,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Open,02/12/2026 12:00:00 AM,02/12/2026 12:00:00 AM,02/12/2026 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000005,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Closed,02/12/2025 12:00:00 AM,02/12/2025 12:00:00 AM,02/12/2025 12:00:00 AM,02/12/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000006,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Open,02/15/2026 12:00:00 AM,02/15/2026 12:00:00 AM,02/15/2026 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000007,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,06/14/2024 12:00:00 AM,06/14/2024 12:00:00 AM,06/14/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000008,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Transportation,Phone,Open,10/15/2023 12:00:00 AM,10/15/2023 12:00:00 AM,10/15/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000009,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Transportation,Phone,Open,05/07/2023 12:00:00 AM,05/07/2023 12:00:00 AM,05/07/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000010,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,02/18/2026 12:00:00 AM,02/18/2026 12:00:00 AM,02/18/2026 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000011,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Open,11/21/2023 12:00:00 AM,11/21/2023 12:00:00 AM,11/21/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000012,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Open,01/13/2024 12:00:00 AM,01/13/2024 12:00:00 AM,01/13/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000013,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,01/01/2025 12:00:00 AM,01/01/2025 12:00:00 AM,01/01/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000014,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,02/01/2023 12:00:00 AM,02/01/2023 12:00:00 AM,02/01/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000015,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Transportation,Phone,Open,04/14/2024 12:00:00 AM,04/14/2024 12:00:00 AM,04/14/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000016,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Transportation,Phone,Open,06/13/2025 12:00:00 AM,06/13/2025 12:00:00 AM,06/13/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000017,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Transportation,Phone,Open,08/20/2024 12:00:00 AM,08/20/2024 12:00:00 AM,08/20/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000018,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,11/09/2025 12:00:00 AM,11/09/2025 12:00:00 AM,11/09/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000019,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Open,12/03/2024 12:00:00 AM,12/03/2024 12:00:00 AM,12/03/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
