geoid,tract_name,countyfp,centroid_lat,centroid_lon,council_district
48189950200,Census Tract 9502,189,34.211743,-101.717244,
48113014134,Census Tract 141.34,113,32.98231,-96.982954,
48201421802,Census Tract 4218.02,201,29.685661,-95.480862,
48125950300,Census Tract 9503,125,33.615363,-100.787617,
48219950400,Census Tract 9504,219,33.588907,-102.395307,
48113016626,Census Tract 166.26,113,32.584177,-96.942234,
48201410705,Census Tract 4107.05,201,29.736603,-95.394076,
48219950300,Census Tract 9503,219,33.586936,-102.341697,
48113018142,Census Tract 181.42,113,32.839568,-96.544888,
48201521401,Census Tract 5214.01,201,29.829259,-95.502415,
48505950401,Census Tract 9504.01,505,26.844204,-99.242335,
48219950100,Census Tract 9501,219,33.771555,-102.182265,
48219950600,Census Tract 9506,219,33.465992,-102.186138,
48085031007,Census Tract 310.07,085,33.158261,-96.538646,
48387950100,Census Tract 9501,387,33.573349,-94.8594,
48303010700,Census Tract 107,303,33.485891,-101.641332,
48209010806,Census Tract 108.06,209,30.152923,-98.049852,
48339694601,Census Tract 6946.01,339,30.420599,-95.755821,
48219950500,Census Tract 9505,219,33.565759,-102.372971,
48219950200,Census Tract 9502,219,33.658666,-102.379646,
48219950700,Census Tract 9507,219,33.444561,-102.453098,
48375014300,Census Tract 143,375,35.413786,-101.911364,
48375013900,Census Tract 139,375,35.243796,-101.822589,
48201530101,Census Tract 5301.01,201,29.815348,-95.452473,
48485013300,Census Tract 133,485,33.976876,-98.523721,
48375013400,Census Tract 134,375,35.277927,-101.8641,
48375015300,Census Tract 153,375,35.222953,-101.87583,
48375011800,Census Tract 118,375,35.20117,-101.893959,
48113016621,Census Tract 166.21,113,32.567969,-96.841323,
48113016623,Census Tract 166.23,113,32.562595,-96.879267,
48201453403,Census Tract 4534.03,201,29.669761,-95.585131,
48453001912,Census Tract 19.12,453,30.32576,-97.820508,10
48113015900,Census Tract 159,113,32.736211,-96.969213,
48113012604,Census Tract 126.04,113,32.842814,-96.646022,
48113013010,Census Tract 130.10,113,32.868815,-96.680233,
48113013622,Census Tract 136.22,113,32.949615,-96.811081,
48113013621,Census Tract 136.21,113,32.960545,-96.808758,
48113014135,Census Tract 141.35,113,32.973643,-96.982513,
48201312601,Census Tract 3126.01,201,29.721791,-95.384599,
48113018141,Census Tract 181.41,113,32.87204,-96.527651,
48113018137,Census Tract 181.37,113,32.862001,-96.560607,
48113018138,Census Tract 181.38,113,32.851047,-96.582055,
48201531000,Census Tract 5310,201,29.825175,-95.419989,
48113018140,Census Tract 181.40,113,32.918872,-96.564834,
48099010101,Census Tract 101.01,099,31.48249,-97.6332,
48099010300,Census Tract 103,099,31.433523,-97.770773,
48099010102,Census Tract 101.02,099,31.423932,-97.980684,
48099010501,Census Tract 105.01,099,31.145236,-97.826424,
48201542104,Census Tract 5421.04,201,29.837111,-95.710604,
48113019042,Census Tract 190.42,113,32.97365,-96.650708,
48113019050,Census Tract 190.50,113,32.970819,-96.630635,
48113019052,Census Tract 190.52,113,32.980196,-96.706957,
48113019053,Census Tract 190.53,113,32.967372,-96.710884,
48113019039,Census Tract 190.39,113,32.946517,-96.707416,
48113019213,Census Tract 192.13,113,32.936537,-96.754738,
48335950200,Census Tract 9502,335,32.415272,-100.851471,
48201453902,Census Tract 4539.02,201,29.678442,-95.622366,
48099010502,Census Tract 105.02,099,31.144121,-97.809176,
48099010804,Census Tract 108.04,099,31.117299,-97.8862,
48201312603,Census Tract 3126.03,201,29.726864,-95.377952,
48099010803,Census Tract 108.03,099,31.099686,-97.889214,
48099010201,Census Tract 102.01,099,31.478758,-97.721022,
48113013726,Census Tract 137.26,113,32.944905,-96.848552,
48113016624,Census Tract 166.24,113,32.565793,-96.917283,
48113016622,Census Tract 166.22,113,32.554762,-96.839316,
48305950400,Census Tract 9504,305,33.277149,-101.828451,
48305950600,Census Tract 9506,305,33.056457,-101.81544,
48305950500,Census Tract 9505,305,33.162176,-101.78311,
48187210506,Census Tract 2105.06,187,29.718333,-97.847381,
48113010903,Census Tract 109.03,113,32.676434,-96.886837,
48113001703,Census Tract 17.03,113,32.799536,-96.796884,
48113019212,Census Tract 192.12,113,32.934448,-96.75982,
48121020118,Census Tract 201.18,121,33.407184,-97.045523,
48121021528,Census Tract 215.28,121,33.158948,-96.869404,
48085031713,Census Tract 317.13,085,33.002234,-96.824747,
48121021535,Census Tract 215.35,121,33.139068,-96.906313,
48201221601,Census Tract 2216.01,201,29.892703,-95.406895,
48121020311,Census Tract 203.11,121,32.999189,-97.219866,
48121021410,Census Tract 214.10,121,33.119148,-97.062894,
48121021413,Census Tract 214.13,121,33.138092,-97.038715,
48201542901,Census Tract 5429.01,201,29.81473,-95.761866,
48121021411,Census Tract 214.11,121,33.11034,-97.00545,
