fy,council_district,reports
2021,0,7222
2021,1,21465
2021,2,14706
2021,3,22223
2021,4,17891
2021,5,16206
2021,6,7630
2021,7,16112
2021,8,10586
2021,9,35496
2021,10,12734
2022,0,9768
2022,1,37816
2022,2,27046
2022,3,36919
2022,4,29438
2022,5,32151
2022,6,22236
2022,7,31325
2022,8,28308
2022,9,53700
2022,10,31259
2023,0,8471
2023,1,38274
2023,2,28014
2023,3,36756
2023,4,28114
2023,5,26583
2023,6,12931
2023,7,25267
2023,8,17097
2023,9,48492
2023,10,21361
2024,0,7185
2024,1,40015
2024,2,29528
2024,3,35912
2024,4,28759
2024,5,26723
2024,6,13298
2024,7,25905
2024,8,18324
2024,9,48912
2024,10,24810
2025,0,3260
2025,1,17375
2025,2,14681
2025,3,16062
2025,4,12586
2025,5,13096
2025,6,6159
2025,7,11500
2025,8,9733
2025,9,21948
2025,10,11257
