geoid,tract_name,aland_sqkm,total_reports,phone_reports,digital_reports,pop2020,other_reports,reports_per_1000_residents,reports_per_sqkm,pct_phone,pct_digital
48453001102,Census Tract 11.02,0.454898,23978,6519,17253,4013,206,5975.1,52710.7,27.2,72.0
48453033700,Census Tract 337,2.443338,22780,14069,8413,2495,298,9130.3,9323.3,61.8,36.9
48453001103,Census Tract 11.03,0.838017,21947,7383,14372,3339,192,6572.9,26189.2,33.6,65.5
48453001101,Census Tract 11.01,1.14473,17885,6475,11232,2258,178,7920.7,15623.8,36.2,62.8
48453040300,Census Tract 403,3.557836,15732,13593,1400,7645,739,2057.8,4421.8,86.4,8.9
48453000901,Census Tract 9.01,0.867121,13657,5475,8073,2719,109,5022.8,15749.8,40.1,59.1
48453032700,Census Tract 327,2.136377,12982,8458,4407,4159,117,3121.4,6076.6,65.2,33.9
48453000902,Census Tract 9.02,3.041426,12981,6899,5904,7803,178,1663.6,4268.1,53.1,45.5
48453002109,Census Tract 21.09,2.796792,12113,6997,4936,3834,180,3159.4,4331.0,57.8,40.7
48453001312,Census Tract 13.12,1.968315,11840,6292,5426,4575,122,2588.0,6015.3,53.1,45.8
48453002111,Census Tract 21.11,6.491872,11826,8934,2716,4987,176,2371.4,1821.7,75.5,23.0
48453001200,Census Tract 12,2.351554,11721,5687,5859,6173,175,1898.8,4984.4,48.5,50.0
48453001000,Census Tract 10,1.981569,11222,5625,5468,3445,129,3257.5,5663.2,50.1,48.7
48453000802,Census Tract 8.02,1.711811,11118,5458,5537,3330,123,3338.7,6494.9,49.1,49.8
48453000801,Census Tract 8.01,1.297989,10829,6740,3864,1730,225,6259.5,8342.9,62.2,35.7
48453001309,Census Tract 13.09,1.061283,10621,5367,5047,2707,207,3923.5,10007.7,50.5,47.5
48453002413,Census Tract 24.13,1.34187,10378,6753,3468,4193,157,2475.1,7734.0,65.1,33.4
48453000607,Census Tract 6.07,0.477837,10291,4685,5487,4268,119,2411.2,21536.6,45.5,53.3
48453000500,Census Tract 5,1.152032,9543,5210,4238,4490,95,2125.4,8283.6,54.6,44.4
48453000304,Census Tract 3.04,1.192522,9187,5599,3488,3068,100,2994.5,7703.8,60.9,38.0
48453001311,Census Tract 13.11,1.106338,9112,3246,5747,1656,119,5502.4,8236.2,35.6,63.1
48453002439,Census Tract 24.39,2.964898,9096,6152,2842,3265,102,2785.9,3067.9,67.6,31.2
48453000309,Census Tract 3.09,1.902076,8949,4942,3853,5602,154,1597.5,4704.9,55.2,43.1
48453040900,Census Tract 409,1.749084,8817,4176,4565,6562,76,1343.6,5040.9,47.4,51.8
48453034100,Census Tract 341,3.690375,8791,5015,3612,5615,164,1565.6,2382.1,57.0,41.1
48453001304,Census Tract 13.04,1.827986,8564,4669,3806,4087,89,2095.4,4684.9,54.5,44.4
48453031800,Census Tract 318,2.378695,8490,5990,2430,5255,70,1615.6,3569.2,70.6,28.6
48453030400,Census Tract 304,2.583805,8362,6097,2173,4560,92,1833.8,3236.3,72.9,26.0
48453002110,Census Tract 21.10,3.614496,8351,5404,2575,4278,372,1952.1,2310.4,64.7,30.8
48453001504,Census Tract 15.04,2.633763,8276,4544,3651,6374,81,1298.4,3142.3,54.9,44.1
48453001503,Census Tract 15.03,3.475141,8211,5143,2978,4802,90,1709.9,2362.8,62.6,36.3
48453000302,Census Tract 3.02,2.052163,8113,5047,2979,5245,87,1546.8,3953.4,62.2,36.7
48453041600,Census Tract 416,3.250425,8072,5818,2208,7549,46,1069.3,2483.4,72.1,27.4
48453001501,Census Tract 15.01,3.472367,7892,5335,2465,5457,92,1446.2,2272.8,67.6,31.2
48453002412,Census Tract 24.12,1.389765,7871,5893,1925,5109,53,1540.6,5663.5,74.9,24.5
48453000606,Census Tract 6.06,0.31356,7807,3207,4535,5012,65,1557.7,24897.9,41.1,58.1
48453000608,Census Tract 6.08,0.189019,7806,3129,4617,5286,60,1476.7,41297.4,40.1,59.1
48453000402,Census Tract 4.02,1.543583,7674,4953,2615,3625,106,2117.0,4971.5,64.5,34.1
48453043800,Census Tract 438,1.672516,7500,5217,2190,3272,93,2292.2,4484.3,69.6,29.2
