geoid,tract_name,aland_sqkm,total_reports,phone_reports,digital_reports,pop2020,other_reports,reports_per_1000_residents,reports_per_sqkm,pct_phone,pct_digital
48453980000,Census Tract 9800,17.31999,1618,1163,432,3,23,539333.3,93.4,71.9,26.7
48453001606,Census Tract 16.06,0.503773,3211,2369,822,228,20,14083.3,6373.9,73.8,25.6
48453033700,Census Tract 337,2.443338,22780,14069,8413,2495,298,9130.3,9323.3,61.8,36.9
48453001101,Census Tract 11.01,1.14473,17885,6475,11232,2258,178,7920.7,15623.8,36.2,62.8
48453001103,Census Tract 11.03,0.838017,21947,7383,14372,3339,192,6572.9,26189.2,33.6,65.5
48453000801,Census Tract 8.01,1.297989,10829,6740,3864,1730,225,6259.5,8342.9,62.2,35.7
48453001102,Census Tract 11.02,0.454898,23978,6519,17253,4013,206,5975.1,52710.7,27.2,72.0
48453001311,Census Tract 13.11,1.106338,9112,3246,5747,1656,119,5502.4,8236.2,35.6,63.1
48453000901,Census Tract 9.01,0.867121,13657,5475,8073,2719,109,5022.8,15749.8,40.1,59.1
48453000700,Census Tract 7,1.615143,6102,3004,3005,1411,93,4324.6,3778.0,49.2,49.2
48453001309,Census Tract 13.09,1.061283,10621,5367,5047,2707,207,3923.5,10007.7,50.5,47.5
48453000802,Census Tract 8.02,1.711811,11118,5458,5537,3330,123,3338.7,6494.9,49.1,49.8
48453001000,Census Tract 10,1.981569,11222,5625,5468,3445,129,3257.5,5663.2,50.1,48.7
48453000307,Census Tract 3.07,1.214341,5911,4003,1848,1841,60,3210.8,4867.7,67.7,31.3
48453002109,Census Tract 21.09,2.796792,12113,6997,4936,3834,180,3159.4,4331.0,57.8,40.7
48453032700,Census Tract 327,2.136377,12982,8458,4407,4159,117,3121.4,6076.6,65.2,33.9
48453002324,Census Tract 23.24,0.318534,5087,3293,1724,1671,70,3044.3,15970.0,64.7,33.9
48453000304,Census Tract 3.04,1.192522,9187,5599,3488,3068,100,2994.5,7703.8,60.9,38.0
48453002452,Census Tract 24.52,9.010295,6215,4573,1582,2180,60,2850.9,689.8,73.6,25.5
48453002201,Census Tract 22.01,5.089677,6000,3793,2146,2114,61,2838.2,1178.9,63.2,35.8
48453002439,Census Tract 24.39,2.964898,9096,6152,2842,3265,102,2785.9,3067.9,67.6,31.2
48453001312,Census Tract 13.12,1.968315,11840,6292,5426,4575,122,2588.0,6015.3,53.1,45.8
48453000804,Census Tract 8.04,1.047634,6082,3408,2610,2419,64,2514.3,5805.5,56.0,42.9
48453001401,Census Tract 14.01,1.266478,7144,3126,3958,2876,60,2484.0,5640.8,43.8,55.4
48453002413,Census Tract 24.13,1.34187,10378,6753,3468,4193,157,2475.1,7734.0,65.1,33.4
