stop_name,total_311_calls,unresolved_tickets,unresolved_rate,avg_open_ticket_age_days,response_rate,unresolved_burden_score,first_ticket_date,last_ticket_date
1609 Lavaca/17th (Midblock),142,113,79.6,507.8,,0.89,2023-01-13,2026-03-25
Guadalupe/16th Street,138,116,84.1,507.8,,0.981,2023-01-18,2026-04-01
Lavaca/4th,135,106,78.5,509.6,,0.841,2023-01-02,2026-04-08
Guadalupe/W. 21st Street,112,91,81.2,496.4,,0.66,2023-01-28,2026-04-03
UT Dean Keeton Station (NB),98,70,71.4,488.0,,0.285,2023-01-19,2026-04-03
Vic Mathias/Auditorium Shores (SB),95,71,74.7,500.1,,0.454,2023-01-07,2026-03-06
Guadalupe/4th,92,75,81.5,502.3,,0.607,2023-01-06,2026-04-08
115 7Th/Colorado,88,68,77.3,502.3,,0.492,2023-01-22,2026-01-23
501 Pleasant Valley/5th,85,67,78.8,498.5,,0.474,2023-01-03,2026-03-31
Republic Square Station (NB),82,64,78.0,509.9,,0.546,2023-01-29,2026-04-09
Northcross Station (SB),78,60,76.9,490.4,,0.323,2023-01-17,2026-03-29
Bluebonnet Station (SB),75,52,69.3,507.2,,0.303,2023-01-28,2026-03-28
West 38th Station (SB),72,55,76.4,495.8,,0.329,2023-01-04,2026-03-11
8th Street NB (Trinity/8th),68,44,64.7,496.2,,0.075,2023-03-13,2026-04-03
North Lamar Transit Center,67,52,77.6,508.8,,0.446,2023-01-30,2026-04-05
