stop_name,first_complaint_date,latest_complaint_date,disrepair_window_days,disrepair_window_years,total_tickets,open_tickets,closed_tickets,avg_open_ticket_age_days,max_open_ticket_age_days,oldest_open_ticket_date,open_tickets_over_1yr,open_tickets_over_2yr,open_tickets_over_3yr,calls_2023,calls_2024,calls_2025,calls_2026
Lavaca/4th,2023-01-02,2026-04-08,1201,3.29,135,106,29,609.2,1196,2023-01-02,69,47,10,45,29,54,7
501 Pleasant Valley/5th,2023-01-03,2026-03-31,1200,3.29,85,67,18,604.7,1195,2023-01-03,44,29,10,30,22,26,7
West 38th Station (SB),2023-01-04,2026-03-11,1199,3.28,72,55,17,651.9,1194,2023-01-04,42,21,10,26,23,20,3
Guadalupe/4th,2023-01-06,2026-04-08,1197,3.28,92,75,17,547.5,1192,2023-01-06,48,22,6,24,24,36,8
Vic Mathias/Auditorium Shores (SB),2023-01-07,2026-03-06,1196,3.27,95,71,24,627.9,1182,2023-01-16,54,32,6,30,33,25,7
1609 Lavaca/17th (Midblock),2023-01-13,2026-03-25,1190,3.26,142,113,29,591.8,1185,2023-01-13,80,41,10,38,41,52,11
Northcross Station (SB),2023-01-17,2026-03-29,1186,3.25,78,60,18,622.2,1181,2023-01-17,40,27,4,27,19,28,4
Guadalupe/16th Street,2023-01-18,2026-04-01,1185,3.24,138,116,22,599.5,1180,2023-01-18,84,45,9,41,45,38,14
UT Dean Keeton Station (NB),2023-01-19,2026-04-03,1184,3.24,98,70,28,532.7,1179,2023-01-19,44,24,4,27,28,30,13
115 7Th/Colorado,2023-01-22,2026-01-23,1181,3.23,88,68,20,685.8,1176,2023-01-22,54,36,5,35,23,29,1
Bluebonnet Station (SB),2023-01-28,2026-03-28,1175,3.22,75,52,23,555.3,1170,2023-01-28,33,19,3,17,20,27,11
Guadalupe/W. 21st Street,2023-01-28,2026-04-03,1175,3.22,112,91,21,602.5,1170,2023-01-28,63,36,7,39,31,34,8
Republic Square Station (NB),2023-01-29,2026-04-09,1174,3.21,82,64,18,555.0,1169,2023-01-29,43,22,4,19,30,25,8
North Lamar Transit Center,2023-01-30,2026-04-05,1173,3.21,67,52,15,665.1,1168,2023-01-30,35,27,6,29,11,20,7
8th Street NB (Trinity/8th),2023-03-13,2026-04-03,1131,3.1,68,44,24,551.5,1126,2023-03-13,30,16,1,16,26,17,9
