stop_name,sr_number,category,complaint_description,created_date,age_days,age_years,age_band
115 7Th/Colorado,SR23000840,Missing Shelter,Transit stop 115 7Th/Colorado needs weather shelter,2023-01-22,1176,3.221917808219178,3+ years
115 7Th/Colorado,SR23000847,Missing Shelter,Request shelter installation at 115 7Th/Colorado,2023-01-22,1176,3.221917808219178,3+ years
115 7Th/Colorado,SR23000874,Missing Benches,Request bench installation at 115 7Th/Colorado,2023-01-26,1172,3.210958904109589,3+ years
115 7Th/Colorado,SR23000821,Weather Exposure,Riders getting wet at 115 7Th/Colorado during rain,2023-02-21,1146,3.1397260273972605,3+ years
115 7Th/Colorado,SR23000883,Missing Benches,No benches at 115 7Th/Colorado bus stop,2023-03-16,1123,3.0767123287671234,3+ years
115 7Th/Colorado,SR23000888,Safety (Lighting),Safety concerns at 115 7Th/Colorado bus stop after dark,2023-05-12,1066,2.9205479452054797,2–3 years
115 7Th/Colorado,SR23000867,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2023-05-17,1061,2.9068493150684933,2–3 years
115 7Th/Colorado,SR23000884,Weather Exposure,Bus stop 115 7Th/Colorado exposed to extreme heat/sun,2023-05-17,1061,2.9068493150684933,2–3 years
115 7Th/Colorado,SR23000831,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2023-05-19,1059,2.9013698630136986,2–3 years
115 7Th/Colorado,SR23000837,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2023-05-30,1048,2.871232876712329,2–3 years
115 7Th/Colorado,SR23000876,Weather Exposure,Riders getting wet at 115 7Th/Colorado during rain,2023-06-10,1037,2.841095890410959,2–3 years
115 7Th/Colorado,SR23000830,Other,Riders have nowhere to sit at 115 7Th/Colorado,2023-07-04,1013,2.7753424657534245,2–3 years
115 7Th/Colorado,SR23000899,Missing Benches,Request bench installation at 115 7Th/Colorado,2023-07-30,987,2.704109589041096,2–3 years
115 7Th/Colorado,SR23000813,Missing Benches,Request bench installation at 115 7Th/Colorado,2023-08-01,985,2.6986301369863015,2–3 years
115 7Th/Colorado,SR23000826,Other,Riders have nowhere to sit at 115 7Th/Colorado,2023-08-07,979,2.682191780821918,2–3 years
115 7Th/Colorado,SR23000895,Missing Benches,No benches at 115 7Th/Colorado bus stop,2023-08-26,960,2.6301369863013697,2–3 years
115 7Th/Colorado,SR23000833,Missing Shelter,Transit stop 115 7Th/Colorado needs weather shelter,2023-09-05,950,2.6027397260273974,2–3 years
115 7Th/Colorado,SR23000834,Missing Shelter,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,2023-09-10,945,2.589041095890411,2–3 years
115 7Th/Colorado,SR23000870,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2023-09-24,931,2.5506849315068494,2–3 years
115 7Th/Colorado,SR23000869,Safety (Lighting),Safety concerns at 115 7Th/Colorado bus stop after dark,2023-09-30,925,2.5342465753424657,2–3 years
115 7Th/Colorado,SR23000853,Missing Shelter,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,2023-10-04,921,2.5232876712328767,2–3 years
115 7Th/Colorado,SR23000862,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2023-10-20,905,2.4794520547945207,2–3 years
115 7Th/Colorado,SR23000892,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2023-10-26,899,2.463013698630137,2–3 years
115 7Th/Colorado,SR23000859,Weather Exposure,Riders getting wet at 115 7Th/Colorado during rain,2023-11-10,884,2.421917808219178,2–3 years
115 7Th/Colorado,SR23000866,Safety Concerns,Feeling unsafe waiting at 115 7Th/Colorado,2023-11-11,883,2.419178082191781,2–3 years
115 7Th/Colorado,SR23000864,Missing Shelter,Request shelter installation at 115 7Th/Colorado,2023-12-06,858,2.350684931506849,2–3 years
115 7Th/Colorado,SR23000832,Missing Benches,No benches at 115 7Th/Colorado bus stop,2023-12-26,838,2.295890410958904,2–3 years
115 7Th/Colorado,SR23000885,Missing Shelter,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,2023-12-28,836,2.2904109589041095,2–3 years
115 7Th/Colorado,SR23000818,Safety Concerns,Request safety improvements at 115 7Th/Colorado stop,2023-12-29,835,2.287671232876712,2–3 years
115 7Th/Colorado,SR23000838,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2024-01-14,819,2.243835616438356,2–3 years
115 7Th/Colorado,SR23000823,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2024-01-15,818,2.241095890410959,2–3 years
115 7Th/Colorado,SR23000854,Missing Benches,No benches at 115 7Th/Colorado bus stop,2024-02-09,793,2.1726027397260275,2–3 years
115 7Th/Colorado,SR23000879,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2024-03-21,752,2.0602739726027397,2–3 years
115 7Th/Colorado,SR23000887,Weather Exposure,Riders getting wet at 115 7Th/Colorado during rain,2024-03-28,745,2.041095890410959,2–3 years
115 7Th/Colorado,SR23000824,Other,Riders have nowhere to sit at 115 7Th/Colorado,2024-04-05,737,2.0191780821917806,2–3 years
115 7Th/Colorado,SR23000841,Other,Riders have nowhere to sit at 115 7Th/Colorado,2024-04-08,734,2.010958904109589,2–3 years
115 7Th/Colorado,SR23000848,Missing Benches,Request bench installation at 115 7Th/Colorado,2024-06-12,669,1.832876712328767,1–2 years
115 7Th/Colorado,SR23000816,Missing Benches,Missing seating at 115 7Th/Colorado transit stop,2024-06-23,658,1.8027397260273972,1–2 years
115 7Th/Colorado,SR23000836,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2024-07-15,636,1.7424657534246577,1–2 years
115 7Th/Colorado,SR23000827,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2024-08-01,619,1.695890410958904,1–2 years
115 7Th/Colorado,SR23000881,Missing Shelter,No weather protection at 115 7Th/Colorado transit stop,2024-08-15,605,1.6575342465753424,1–2 years
115 7Th/Colorado,SR23000872,Missing Shelter,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,2024-08-16,604,1.6547945205479453,1–2 years
115 7Th/Colorado,SR23000875,Weather Exposure,Riders getting wet at 115 7Th/Colorado during rain,2024-08-29,591,1.6191780821917807,1–2 years
115 7Th/Colorado,SR23000858,Weather Exposure,Riders getting wet at 115 7Th/Colorado during rain,2024-09-03,586,1.6054794520547946,1–2 years
115 7Th/Colorado,SR23000839,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2024-09-22,567,1.5534246575342463,1–2 years
115 7Th/Colorado,SR23000820,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2024-10-30,529,1.4493150684931506,1–2 years
115 7Th/Colorado,SR23000890,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2024-12-20,478,1.3095890410958904,1–2 years
115 7Th/Colorado,SR23000828,Weather Exposure,Riders getting wet at 115 7Th/Colorado during rain,2024-12-26,472,1.2931506849315069,1–2 years
115 7Th/Colorado,SR23000873,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2025-01-03,464,1.2712328767123289,1–2 years
115 7Th/Colorado,SR23000815,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2025-01-16,451,1.2356164383561643,1–2 years
115 7Th/Colorado,SR23000814,Other,Riders have nowhere to sit at 115 7Th/Colorado,2025-01-26,441,1.2082191780821918,1–2 years
115 7Th/Colorado,SR23000865,Missing Benches,No benches at 115 7Th/Colorado bus stop,2025-02-13,423,1.158904109589041,1–2 years
115 7Th/Colorado,SR23000878,Weather Exposure,Bus stop 115 7Th/Colorado exposed to extreme heat/sun,2025-03-09,399,1.093150684931507,1–2 years
115 7Th/Colorado,SR23000850,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2025-03-20,388,1.063013698630137,1–2 years
115 7Th/Colorado,SR23000822,Missing Shelter,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,2025-04-29,348,0.9534246575342464,< 1 year
115 7Th/Colorado,SR23000849,Missing Benches,No benches at 115 7Th/Colorado bus stop,2025-05-10,337,0.9232876712328768,< 1 year
115 7Th/Colorado,SR23000825,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2025-06-23,293,0.8027397260273973,< 1 year
115 7Th/Colorado,SR23000886,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2025-06-26,290,0.7945205479452054,< 1 year
115 7Th/Colorado,SR23000896,Weather Exposure,Riders getting wet at 115 7Th/Colorado during rain,2025-07-10,276,0.7561643835616438,< 1 year
115 7Th/Colorado,SR23000812,Other,Riders have nowhere to sit at 115 7Th/Colorado,2025-07-28,258,0.7068493150684931,< 1 year
115 7Th/Colorado,SR23000861,Missing Shelter,Request shelter installation at 115 7Th/Colorado,2025-08-17,238,0.6520547945205479,< 1 year
115 7Th/Colorado,SR23000893,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2025-09-28,196,0.536986301369863,< 1 year
115 7Th/Colorado,SR23000819,Missing Shelter,Transit stop 115 7Th/Colorado needs shelter for rider protection,2025-09-29,195,0.5342465753424658,< 1 year
115 7Th/Colorado,SR23000842,Missing Shelter,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,2025-11-23,140,0.3835616438356164,< 1 year
115 7Th/Colorado,SR23000855,Weather Exposure,Bus stop 115 7Th/Colorado exposed to extreme heat/sun,2025-12-05,128,0.3506849315068493,< 1 year
115 7Th/Colorado,SR23000894,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2025-12-16,117,0.3205479452054794,< 1 year
115 7Th/Colorado,SR23000882,Missing Benches,No benches at 115 7Th/Colorado bus stop,2025-12-30,103,0.2821917808219178,< 1 year
115 7Th/Colorado,SR23000863,Missing Shelter,No shelter at 115 7Th/Colorado transit stop,2026-01-23,79,0.2164383561643835,< 1 year
1609 Lavaca/17th (Midblock),SR23000085,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,2023-01-13,1185,3.2465753424657535,3+ years
1609 Lavaca/17th (Midblock),SR23000140,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2023-01-14,1184,3.243835616438356,3+ years
1609 Lavaca/17th (Midblock),SR23000111,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2023-01-17,1181,3.2356164383561645,3+ years
1609 Lavaca/17th (Midblock),SR23000043,Missing Shelter,No shelter at 1609 Lavaca/17th (Midblock) transit stop,2023-01-31,1167,3.197260273972603,3+ years
1609 Lavaca/17th (Midblock),SR23000014,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2023-02-01,1166,3.1945205479452055,3+ years
1609 Lavaca/17th (Midblock),SR23000075,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2023-02-14,1153,3.158904109589041,3+ years
1609 Lavaca/17th (Midblock),SR23000052,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2023-03-03,1136,3.112328767123288,3+ years
1609 Lavaca/17th (Midblock),SR23000057,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2023-03-06,1133,3.1041095890410957,3+ years
1609 Lavaca/17th (Midblock),SR23000053,Missing Shelter,No shelter at 1609 Lavaca/17th (Midblock) transit stop,2023-04-02,1106,3.03013698630137,3+ years
1609 Lavaca/17th (Midblock),SR23000039,Weather Exposure,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,2023-04-09,1099,3.010958904109589,3+ years
1609 Lavaca/17th (Midblock),SR23000009,Weather Exposure,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,2023-05-07,1071,2.9342465753424656,2–3 years
1609 Lavaca/17th (Midblock),SR23000029,Weather Exposure,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,2023-05-09,1069,2.9287671232876713,2–3 years
1609 Lavaca/17th (Midblock),SR23000098,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,2023-05-30,1048,2.871232876712329,2–3 years
1609 Lavaca/17th (Midblock),SR23000065,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,2023-06-23,1024,2.8054794520547945,2–3 years
1609 Lavaca/17th (Midblock),SR23000054,Missing Benches,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,2023-07-15,1002,2.745205479452055,2–3 years
1609 Lavaca/17th (Midblock),SR23000063,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,2023-07-19,998,2.734246575342466,2–3 years
1609 Lavaca/17th (Midblock),SR23000129,Weather Exposure,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,2023-07-29,988,2.706849315068493,2–3 years
1609 Lavaca/17th (Midblock),SR23000118,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2023-07-31,986,2.7013698630136984,2–3 years
1609 Lavaca/17th (Midblock),SR23000072,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2023-08-03,983,2.6931506849315068,2–3 years
1609 Lavaca/17th (Midblock),SR23000003,Missing Benches,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,2023-08-07,979,2.682191780821918,2–3 years
1609 Lavaca/17th (Midblock),SR23000047,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2023-08-08,978,2.6794520547945204,2–3 years
1609 Lavaca/17th (Midblock),SR23000050,Weather Exposure,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,2023-09-07,948,2.5972602739726027,2–3 years
1609 Lavaca/17th (Midblock),SR23000028,Weather Exposure,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,2023-09-22,933,2.5561643835616437,2–3 years
1609 Lavaca/17th (Midblock),SR23000092,Safety Concerns,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,2023-10-02,923,2.5287671232876714,2–3 years
1609 Lavaca/17th (Midblock),SR23000080,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2023-10-04,921,2.5232876712328767,2–3 years
1609 Lavaca/17th (Midblock),SR23000008,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,2023-10-15,910,2.493150684931507,2–3 years
1609 Lavaca/17th (Midblock),SR23000121,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2023-10-23,902,2.4712328767123286,2–3 years
1609 Lavaca/17th (Midblock),SR23000073,Missing Benches,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,2023-11-02,892,2.4438356164383563,2–3 years
