stop_id,stop_name,council_district,trip_count,amenity_gap,bench_present,shelter_present,total_311_reports,open_311_reports,closed_311_reports,unresolved_rate,safety_related_reports,safety_share,planned_improvement_points,demand_index,service_index,existing_infra_index,planned_supply_index,supply_index,gap_score,gap_index_100,gap_priority,capital_source,geoid,tract_name,tract_total_311_reports,tract_reports_per_1k_pop,tract_reports_per_sqkm,tract_pct_phone,tract_pct_digital,tract_pop2020,tract_density_tier,tract_digital_access
501,Guadalupe/16th Street,9,2156,2,0,0,138.0,116.0,22.0,0.8405797101449275,30.0,0.217391304347826,0.0,0.9047560726678914,0.5273124544792426,0.0,0.0,0.2636562272396213,0.6410998454282701,64.1,SEVERE GAP,no_capital_plan_file_found,48453000700,Census Tract 7,6102,4324.6,3778.0,49.2,49.2,1411,VERY HIGH (≥2000/1k),MODERATE DIGITAL
5940,1609 Lavaca/17th (Midblock),9,2215,2,0,0,142.0,113.0,29.0,0.795774647887324,33.0,0.2323943661971831,0.0,0.9220657276995304,0.5702840495265841,0.0,0.0,0.285142024763292,0.6369237029362385,63.7,SEVERE GAP,no_capital_plan_file_found,48453000700,Census Tract 7,6102,4324.6,3778.0,49.2,49.2,1411,VERY HIGH (≥2000/1k),MODERATE DIGITAL
498,Guadalupe/W. 21st Street,9,1994,2,0,0,112.0,91.0,21.0,0.8125,36.0,0.3214285714285714,0.0,0.8381161971830986,0.4093226511289148,0.0,0.0,0.2046613255644574,0.6334548716186412,63.3,SEVERE GAP,no_capital_plan_file_found,48453000608,Census Tract 6.08,7806,1476.7,41297.4,40.1,59.1,5286,HIGH (≥1000/1k),HIGH DIGITAL
1368,501 Pleasant Valley/5th,3,1554,2,0,0,85.0,67.0,18.0,0.788235294117647,20.0,0.2352941176470588,0.0,0.6468774739942926,0.088856518572469,0.0,0.0,0.0444282592862345,0.6024492147080581,60.2,SEVERE GAP,no_capital_plan_file_found,48453000902,Census Tract 9.02,12981,1663.6,4268.1,53.1,45.5,7803,HIGH (≥1000/1k),MODERATE DIGITAL
2643,Lavaca/4th,9,2147,2,0,0,135.0,106.0,29.0,0.7851851851851852,26.0,0.1925925925925926,0.0,0.8553521126760564,0.5207574654042243,0.0,0.0,0.2603787327021121,0.5949733799739443,59.5,SEVERE GAP,no_capital_plan_file_found,48453001102,Census Tract 11.02,23978,5975.1,52710.7,27.2,72.0,4013,EXTREME (≥5000/1k),HIGH DIGITAL
5868,Republic Square Station (NB),9,1495,2,0,0,82.0,64.0,18.0,0.7804878048780488,15.0,0.1829268292682926,0.0,0.6062120691629452,0.0458849235251274,0.0,0.0,0.0229424617625637,0.5832696074003815,58.3,SEVERE GAP,no_capital_plan_file_found,48453001102,Census Tract 11.02,23978,5975.1,52710.7,27.2,72.0,4013,EXTREME (≥5000/1k),HIGH DIGITAL
5849,Northcross Station (SB),7,1494,2,0,0,78.0,60.0,18.0,0.7692307692307693,18.0,0.2307692307692307,0.0,0.6054171180931744,0.0451565914056809,0.0,0.0,0.0225782957028404,0.5828388223903339,58.3,SEVERE GAP,no_capital_plan_file_found,48453001504,Census Tract 15.04,8276,1298.4,3142.3,54.9,44.1,6374,HIGH (≥1000/1k),MODERATE DIGITAL
2613,Guadalupe/4th,9,1813,2,0,0,92.0,75.0,17.0,0.8152173913043478,24.0,0.2608695652173913,0.0,0.7018422126964686,0.2774945375091041,0.0,0.0,0.138747268754552,0.5630949439419166,56.3,SEVERE GAP,no_capital_plan_file_found,48453001102,Census Tract 11.02,23978,5975.1,52710.7,27.2,72.0,4013,EXTREME (≥5000/1k),HIGH DIGITAL
5879,Bluebonnet Station (SB),5,1486,2,0,0,75.0,52.0,23.0,0.6933333333333334,19.0,0.2533333333333333,0.0,0.5776400625978091,0.0393299344501092,0.0,0.0,0.0196649672250546,0.5579750953727545,55.8,SEVERE GAP,no_capital_plan_file_found,48453001304,Census Tract 13.04,8564,2095.4,4684.9,54.5,44.4,4087,VERY HIGH (≥2000/1k),MODERATE DIGITAL
5349,West 38th Station (SB),9,1471,2,0,0,72.0,55.0,17.0,0.7638888888888888,15.0,0.2083333333333333,0.0,0.5660211267605634,0.0284049526584122,0.0,0.0,0.0142024763292061,0.5518186504313572,55.2,SEVERE GAP,no_capital_plan_file_found,48453000204,Census Tract 2.04,7152,2258.3,3923.3,56.9,41.8,3167,VERY HIGH (≥2000/1k),MODERATE DIGITAL
5859,North Lamar Transit Center,4,1432,2,0,0,67.0,52.0,15.0,0.7761194029850746,13.0,0.1940298507462686,0.0,0.540973536075491,0.0,0.0,0.0,0.0,0.540973536075491,54.1,SEVERE GAP,no_capital_plan_file_found,48453040100,Census Tract 401,5377,1249.9,3535.7,65.4,34.1,4302,HIGH (≥1000/1k),MODERATE DIGITAL
6314,115 7Th/Colorado,9,1740,2,0,0,88.0,68.0,20.0,0.7727272727272727,17.0,0.1931818181818181,0.0,0.6361217811922036,0.224326292789512,0.0,0.0,0.112163146394756,0.5239586347974476,52.4,SEVERE GAP,no_capital_plan_file_found,48453001101,Census Tract 11.01,17885,7920.7,15623.8,36.2,62.8,2258,EXTREME (≥5000/1k),HIGH DIGITAL
5864,UT Dean Keeton Station (NB),9,1843,2,0,0,98.0,70.0,28.0,0.7142857142857143,20.0,0.2040816326530612,0.0,0.6704672479320367,0.2993445010924981,0.0,0.0,0.149672250546249,0.5207949973857876,52.1,SEVERE GAP,no_capital_plan_file_found,48453000606,Census Tract 6.06,7807,1557.7,24897.9,41.1,58.1,5012,HIGH (≥1000/1k),HIGH DIGITAL
6315,8th Street NB (Trinity/8th),9,1435,2,0,0,68.0,44.0,24.0,0.6470588235294118,15.0,0.2205882352941176,0.0,0.5168876001104667,0.0021849963583394,0.0,0.0,0.0010924981791697,0.5157951019312971,51.6,SEVERE GAP,no_capital_plan_file_found,48453001101,Census Tract 11.01,17885,7920.7,15623.8,36.2,62.8,2258,EXTREME (≥5000/1k),HIGH DIGITAL
2763,Vic Mathias/Auditorium Shores (SB),9,1831,2,0,0,95.0,71.0,24.0,0.7473684210526316,18.0,0.1894736842105263,0.0,0.6587175685693106,0.2906045156591406,0.0,0.0,0.1453022578295703,0.5134153107397403,51.3,SEVERE GAP,no_capital_plan_file_found,48453001311,Census Tract 13.11,9112,5502.4,8236.2,35.6,63.1,1656,EXTREME (≥5000/1k),HIGH DIGITAL
2328,Oltorf West Station (SB),5,1486,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393299344501092,0.5,0.0,0.1696649672250546,-0.1696649672250546,-17.0,LOWER GAP,no_capital_plan_file_found,48453001304,Census Tract 13.04,8564,2095.4,4684.9,54.5,44.4,4087,VERY HIGH (≥2000/1k),MODERATE DIGITAL
