stop_name,total_calls,capmetro_issues,city_of_austin_issues,capmetro_share,city_share
1609 Lavaca/17th (Midblock),142,112,19,0.7887323943661971,0.13380281690140844
Guadalupe/16th Street,138,114,24,0.8260869565217391,0.17391304347826086
Lavaca/4th,135,113,12,0.837037037037037,0.08888888888888889
Guadalupe/W. 21st Street,112,89,23,0.7946428571428571,0.20535714285714285
UT Dean Keeton Station (NB),98,80,13,0.8163265306122449,0.1326530612244898
Vic Mathias/Auditorium Shores (SB),95,78,8,0.8210526315789474,0.08421052631578947
Guadalupe/4th,92,75,17,0.8152173913043478,0.18478260869565216
115 7Th/Colorado,88,77,4,0.875,0.045454545454545456
501 Pleasant Valley/5th,85,75,7,0.8823529411764706,0.08235294117647059
Republic Square Station (NB),82,66,9,0.8048780487804879,0.10975609756097561
Northcross Station (SB),78,65,7,0.8333333333333334,0.08974358974358974
Bluebonnet Station (SB),75,61,10,0.8133333333333334,0.13333333333333333
West 38th Station (SB),72,62,6,0.8611111111111112,0.08333333333333333
8th Street NB (Trinity/8th),68,56,10,0.8235294117647058,0.14705882352941177
North Lamar Transit Center,67,56,8,0.835820895522388,0.11940298507462686
