finding,value
Total stops analyzed,15
Stops rated CRITICAL liability tier,3
Stops rated HIGH liability tier,2
Total safety incident tickets (2023–2026),75
Total ADA-flagged open tickets,282
Total Sidewalk/ADA complaint tickets,25
Total weather exposure tickets,142
Stops missing shelter (physical hazard),15
Confirmed repairs documented (either agency),0
Admin closures with Age Days = 0 (no repair),60
Avg disrepair window across all stops (years),3.24
Longest disrepair window (years),3.29
Total cumulative rider-exposure-days,30913610
Highest-liability stop,Guadalupe/16th Street
Highest liability score,99.4
