finding,value
Total 311 complaint tickets (2023–2026),1427
Open/unresolved tickets,1104
Administratively 'closed' tickets,323
Closed tickets with Age Days = 0 (same-day admin close),323
Closed tickets with Age Days > 0 (evidence of actual repair work),0
ADA-flagged closed tickets — all same-day admin close?,True
City of Austin closure rate (%),17.6
CapMetro closure rate (%),23.2
Stops with documented budget allocation or repair order,0
Stops flagged for capital improvement in any available record,0
