stop_name,total_calls,capmetro_issues,city_of_austin_issues,capmetro_share,city_share,capmetro_share_percent,city_share_percent
1609 Lavaca/17th (Midblock),142,112,19,0.7887323943661971,0.13380281690140844,78.9,13.4
Guadalupe/16th Street,138,114,24,0.8260869565217391,0.17391304347826086,82.6,17.4
Lavaca/4th,135,113,12,0.837037037037037,0.08888888888888889,83.7,8.9
Guadalupe/W. 21st Street,112,89,23,0.7946428571428571,0.20535714285714285,79.5,20.5
UT Dean Keeton Station (NB),98,80,13,0.8163265306122449,0.1326530612244898,81.6,13.3
Vic Mathias/Auditorium Shores (SB),95,78,8,0.8210526315789474,0.08421052631578947,82.1,8.4
Guadalupe/4th,92,75,17,0.8152173913043478,0.18478260869565216,81.5,18.5
115 7Th/Colorado,88,77,4,0.875,0.045454545454545456,87.5,4.5
501 Pleasant Valley/5th,85,75,7,0.8823529411764706,0.08235294117647059,88.2,8.2
Republic Square Station (NB),82,66,9,0.8048780487804879,0.10975609756097561,80.5,11.0
Northcross Station (SB),78,65,7,0.8333333333333334,0.08974358974358974,83.3,9.0
Bluebonnet Station (SB),75,61,10,0.8133333333333334,0.13333333333333333,81.3,13.3
West 38th Station (SB),72,62,6,0.8611111111111112,0.08333333333333333,86.1,8.3
8th Street NB (Trinity/8th),68,56,10,0.8235294117647058,0.14705882352941177,82.4,14.7
North Lamar Transit Center,67,56,8,0.835820895522388,0.11940298507462686,83.6,11.9
