census_tract,transit_density_rank,unique_stops,total_weekly_trips,total_calls,unresolved_tickets,calls_per_stop,unresolved_per_stop,avg_amenity_gap
000700,1,4,4371.0,280.0,229.0,70.0,57.25,1.25
001101,1,4,3175.0,156.0,112.0,39.0,28.0,1.25
001102,2,3,5455.0,309.0,245.0,103.0,81.67,2.0
000608,3,2,1994.0,112.0,91.0,56.0,45.5,1.5
000601,3,2,1843.0,98.0,70.0,49.0,35.0,1.5
001304,3,2,1486.0,75.0,52.0,37.5,26.0,1.5
000204,3,2,1471.0,72.0,55.0,36.0,27.5,1.0
001311,4,1,1831.0,95.0,71.0,95.0,71.0,2.0
000902,4,1,1554.0,85.0,67.0,85.0,67.0,2.0
001501,4,1,1494.0,78.0,60.0,78.0,60.0,2.0
040100,4,1,1432.0,67.0,52.0,67.0,52.0,2.0
000500,4,1,0.0,0.0,0.0,0.0,0.0,1.0
001504,4,1,0.0,0.0,0.0,0.0,0.0,0.0
