zip_code,neighborhood,food_desert_designation,avg_miles_to_supermarket,supermarkets_within_1mi,supermarkets_within_3mi,dollar_stores_within_1mi,fast_food_within_1mi,pct_no_vehicle,pct_low_income_low_access,healthy_food_score_1to10,corner_stores_only_pct,notes
78724,Colony Park / E Austin,Yes,2.3,0,1,3,6,28.1,61.2,3.1,44.0,"Nearest full grocery: HEB Springdale ~2.3mi; Dollar General density high"
78725,Hornsby Bend,Yes,4.1,0,0,1,2,19.3,68.4,2.4,51.0,"Rural fringe; no supermarket within 4mi; food bank reliance high"
78742,Montopolis,Yes,1.9,0,1,2,5,31.4,58.7,3.4,40.0,"Limited transit to grocery; river barrier isolates community"
78721,E 51st / Govalle,Yes,1.6,0,2,2,4,26.8,54.1,4.1,35.0,"Close to E 51st but walkability limited; sidewalk gaps"
78753,Rundberg / North Lamar,Partial,1.1,1,3,4,8,22.4,48.3,4.8,28.0,"HEB on N Lamar present but walkability impaired; high crime corridor"
78741,Riverside / SE Austin,Partial,1.2,1,3,3,7,24.7,46.9,5.1,26.0,"Walmart Supercenter accessible; bus connectivity moderate"
78744,Slaughter / Far SE Austin,Partial,1.8,0,2,2,5,18.6,49.2,4.6,30.0,"HEB Slaughter is anchor but dist varies widely across zip"
78752,North Loop / Rundberg,No,0.9,1,4,3,6,20.1,38.4,5.6,18.0,"Fiesta on Airport; diverse ethnic grocery options"
78723,Windsor Park,No,0.8,1,4,2,5,17.3,32.1,6.2,14.0,"Target + HEB proximity; transit-accessible"
78702,East Austin,No,0.7,2,5,1,6,23.9,28.6,6.8,12.0,"Gentrification brought new options; legacy residents may not benefit"
78704,South Congress,No,0.6,2,6,0,5,14.2,18.3,7.4,8.0,"Whole Foods + HEB; affluent area"
78748,South Austin / Stassney,No,0.5,2,6,1,4,11.8,14.7,7.8,6.0,"Good HEB access; car-dependent but income supports it"
78745,Slaughter / S Manchaca,No,0.6,2,6,1,4,12.4,16.2,7.6,7.0,"Multiple grocery options along S Lamar/Manchaca"
78758,Tech Ridge / N Mopac,No,0.5,2,7,1,5,10.6,13.1,7.9,5.0,"Dense retail corridor; strong access"
78729,Rattan Creek / NW,No,0.4,3,8,0,3,8.1,9.4,8.6,3.0,"Suburban; car-oriented but high auto ownership"
78756,Rosedale / Brentwood,No,0.5,2,7,0,2,9.3,8.2,8.8,3.0,"Central; walkable neighborhoods"
78703,Tarrytown / Brykerwoods,No,0.6,2,6,0,2,7.4,6.1,9.1,2.0,"Affluent; Central Market + Whole Foods"
78759,Oak Hill / Great Hills,No,0.4,3,9,0,2,6.8,7.3,9.0,2.0,"Tech corridor; affluent; multiple options"
78733,Bee Cave / W Lake Hills,No,0.5,2,6,0,2,5.2,6.8,8.9,2.0,"HEB Bee Cave; high income compensates for suburban layout"
78701,Downtown,No,0.3,3,8,0,4,38.4,11.2,8.2,4.0,"High transit use; Whole Foods + Trader Joes"
78754,Dessau / NE Austin,No,0.8,1,4,2,4,13.7,24.3,6.4,15.0,"Growing area; access improving"
