vendor,total_authorized,total_ordered,num_contracts,categories,utilization_pct
AECOM TECHNICAL SERVICES INC,334338976.41,257887078.13,12,Sole and Single Source | Professional Services,77.1
HDR ENGINEERING INC,277856253.0,184124619.65,10,Sole and Single Source | Professional Services,66.3
FREESE AND NICHOLS INC,254030000.0,180936868.06,7,Sole and Single Source | Professional Services,71.2
"BGE, INC",245329999.9,170530552.84,7,Sole and Single Source | Professional Services,69.5
HALFF ASSOCIATES INC,231630000.0,169372961.9,9,Sole and Single Source | Professional Services,73.1
LOCKWOOD ANDREWS & NEWNAM INC,220429999.9,176121720.47,7,Sole and Single Source | Professional Services,79.9
BINKLEY & BARFIELD INC,206210637.72,152175587.79,6,Sole and Single Source | Professional Services,73.8
CP&Y INC,192923450.03,157052716.77,8,Sole and Single Source | Professional Services,81.4
CDM SMITH INC,173769150.24,149435865.38,7,Sole and Single Source | Professional Services,86.0
HENSEL PHELPS CONSTRUCTION CO,168580044.0,136758048.8,2,Other Contracting,81.1
"KIMLEY-HORN AND ASSOCIATES, INC",145000000.0,112667361.92,2,Sole and Single Source | Professional Services,77.7
MWH CONSTRUCTORS INC,116000852.0,116000852.0,1,Construction,100.0
MATOUS CONSTRUCTION LTD,115264516.36,115264516.36,2,Construction,100.0
"DEC - CENTRAL TEXAS, LLC",115000000.0,111460417.18,1,Sole and Single Source,96.9
ALLIANCE TRANSPORTATION GROUP LLC,115000000.0,111460417.18,1,Sole and Single Source,96.9
"H.W. LOCHNER, INC.",101858526.65,60011958.08,7,Sole and Single Source | Professional Services,58.9
K FRIESE & ASSOC INC,101858526.65,60011958.08,7,Sole and Single Source | Professional Services,58.9
FLINTCO LLC,96591385.68,91915279.68,4,Construction | Other Contracting,95.2
DOUCET & ASSOCIATES INC,92229999.9,65036659.699999996,6,Sole and Single Source | Professional Services,70.5
"RPS INFRASTRUCTURE, INC.",85500000.0,30984117.810000002,5,Professional Services | Sole and Single Source,36.2
JACOBS ENGINEERING GROUP INC,77799999.9,45578069.59,6,Professional Services | Sole and Single Source,58.6
DENUCCI CONSTRUCTORS L L C,63718684.87,57024792.8,6,Construction,89.5
"PAPE-DAWSON CONSULTING ENGINEERS, LLC",60700000.0,16442469.18,4,Professional Services | Sole and Single Source,27.1
"CAS CONSULTING AND SERVICES, INC.",58163146.34,38149776.63,5,Professional Services | Sole and Single Source,65.6
T MORALES COMPANY ELECTRIC & CONTROLS LTD,57503644.09,57503644.09,2,Non-Professional Services | Construction,100.0
MWM DESIGNGROUP INC,56700000.0,26736638.9,6,Sole and Single Source | Professional Services,47.2
MASTEC NORTH AMERICA INC,56000000.0,42417026.39,2,Other Contracting | Construction,75.7
SANTA CLARA CONSTRUCTION LTD,54803109.29,44136876.64,10,Construction,80.5
"PLW WATERWORKS, LLC",52747095.47,52747095.47,2,Construction,100.0
"VELIZ COMPANY, LLC",52022347.23,20200352.03,2,Other Contracting | Construction,38.8
"PGC GENERAL CONTRACTORS, LLC",49580069.17,40651595.61,7,Construction,82.0
COBB FENDLEY & ASSOC INC,49500000.0,11388887.32,4,Professional Services | Sole and Single Source,23.0
"ALLEGIS GROUP HOLDINGS, INC.",48375000.0,33260542.71,1,Sole and Single Source,68.8
"CENTENNIAL CONTRACTORS ENTERPRISES, INC.",48000000.0,16178004.8,1,Other Contracting,33.7
ALPHA BUILDING CORPORATION,48000000.0,16178004.8,1,Other Contracting,33.7
BROWN & ROOT INDUSTRIAL SERVICES LLC,48000000.0,16178004.8,1,Other Contracting,33.7
JAMAIL & SMITH CONSTRUCTION LP,48000000.0,16178004.8,1,Other Contracting,33.7
"BASIC IDIQ, INC.",48000000.0,16178004.8,1,Other Contracting,33.7
WARDEN CONSTRUCTION CORPORATION,48000000.0,16178004.8,1,Other Contracting,33.7
ALPHA PAVING INDUSTRIES LLC,47000000.0,32756723.4,4,Construction,69.7
WATERSHED SOLUTIONS JV LLC,45030000.0,24367439.49,1,Sole and Single Source,54.1
BLACK & VEATCH CORPORATION,44999999.9,33086494.800000004,4,Sole and Single Source,73.5
WESTON SOLUTIONS INC,43593834.72,39310368.45,7,Professional Services | Construction,90.2
ALLIANT INSURANCE SERVICES INC.,42583179.0,7681956.0,1,Non-Professional Services,18.0
"MGC CONTRACTORS, INC.",42455693.66,42455693.66,1,Construction,100.0
"UNITY CONTRACTOR SERVICES, INC",42352000.0,11388744.16,4,Non-Professional Services | Construction | Commodities (Goods),26.9
PAPE-DAWSON CONSULTING ENGINEERS INC,42000000.0,10574330.100000001,3,Professional Services | Sole and Single Source,25.2
"MATOUS CONSTRUCTION II, LTD",41485435.38,41485435.38,5,Construction | Commodities (Goods),100.0
M.A. SMITH CONTRACTING CO INC,38611109.94,38611109.94,5,Construction,100.0
ARCADIS US INC,35000000.0,23667443.28,3,Sole and Single Source,67.6
AUSTIN UNDERGROUND INC,34896076.41,34896076.41,6,Construction,100.0
URS CORP,34864575.06,27959710.66,6,Professional Services | Sole and Single Source,80.2
"CIVILITUDE, LLC",33000000.0,8708946.96,2,Sole and Single Source,26.4
CHAN & PARTNERS ENGINEERING LLC,32499999.9,30487277.63,3,Sole and Single Source | Professional Services,93.8
CAROLLO ENGINEERS INC,31662792.259999998,30676314.43,2,Sole and Single Source,96.9
FACILITIES REHABILITATION INC,30523076.74,30523076.74,8,Construction,100.0
DKS ASSOCIATES,30000000.0,1206944.74,1,Professional Services,4.0
"JOHNSON, MIRMIRAN & THOMPSON, INC.",30000000.0,1206944.74,1,Professional Services,4.0
"HUITT-ZOLLARS, INC.",30000000.0,1206944.74,1,Professional Services,4.0
VOLKERT INC.,30000000.0,1206944.74,1,Professional Services,4.0
"TOOLE DESIGN GROUP, LLC",30000000.0,9928121.5,2,Professional Services | Sole and Single Source,33.1
MUNIZ CONCRETE & CONTRACTING INC,29658740.21,23165613.330000002,5,Construction,78.1
HARUTUNIAN ENGINEERING INC,27321934.45,16975855.560000002,4,Sole and Single Source | Professional Services,62.1
ABESCAPE GROUP LLC,26450000.0,3738714.1,2,Non-Professional Services,14.1
"CH2M HILL ENGINEERS, INC.",25000000.0,23278182.900000002,2,Sole and Single Source,93.1
PARSONS WATER & INFRASTRUCTURE INC,24000000.0,5999352.57,1,Professional Services,25.0
AUSTIN MATERIALS LLC,24000000.0,14626374.77,1,Construction,60.9
ASPHALT INC LLC,24000000.0,14626374.77,1,Construction,60.9
DAVCAR INC,23899999.9,22279200.18,3,Sole and Single Source | Professional Services,93.2
ESPEY CONSULTANTS INC,22500000.0,21068226.11,2,Sole and Single Source | Professional Services,93.6
CORZA CONSTRUCTION LLC,22400000.0,1725214.59,1,Non-Professional Services,7.7
INCIRCLE MANAGEMENT INC,22400000.0,1725214.59,1,Non-Professional Services,7.7
"PYRAMID CONTRACTING SERVICES, INC.",22400000.0,1725214.59,1,Non-Professional Services,7.7
CH2M HILL INC,22100902.63,21114424.8,2,Sole and Single Source,95.5
"RABA KISTNER, INC.",21400000.0,8184475.36,3,Sole and Single Source | Professional Services,38.2
"POSILLICO CIVIL, INC",21366910.0,21366910.0,1,Construction,100.0
"ARDURRA GROUP, INC.",20200000.0,16743150.75,3,Professional Services | Sole and Single Source,82.9
AUSTIN WHITE LIME CO,20066000.0,14004259.28,1,Commodities (Goods),69.8
"LHOIST NORTH AMERICA OF TEXAS, LLC",20066000.0,14004259.28,1,Commodities (Goods),69.8
RODRIGUEZ ENGINEERING LABORATORIES LLC,20000000.0,7736566.21,2,Sole and Single Source | Professional Services,38.7
"HVJ SOUTH CENTRAL TEXAS - M&J, INC.",20000000.0,7736566.21,2,Sole and Single Source | Professional Services,38.7
"FUGRO USA LAND, INC",20000000.0,7736566.21,2,Sole and Single Source | Professional Services,38.7
"KLEINFELDER, INC.",20000000.0,7736566.21,2,Sole and Single Source | Professional Services,38.7
VICKREY & ASSOC LLC,19800000.0,16980054.95,3,Professional Services,85.8
ATKINS NORTH AMERICA INC,17499999.9,16292932.379999999,2,Sole and Single Source | Professional Services,93.1
CASH CONSTRUCTION CO INC,17040572.4,17040572.4,2,Construction,100.0
STANTEC CONSULTING SERVICES INC,17038767.65,16152665.93,3,Sole and Single Source | Professional Services,94.8
KURKJIAN ENGINEERING CORP,16400000.0,15375961.120000001,3,Professional Services,93.8
ENERGY ENGINEERING ASSOC INC,15007499.05,5740163.43,2,Professional Services | Sole and Single Source,38.2
TERRACON CONSULTANTS INC,15000000.0,3304066.21,1,Sole and Single Source,22.0
SPAWGLASS CONTRACTORS INC,14271972.81,14271972.81,1,Other Contracting,100.0
EL BUEN SAMARITANO EPISCOPAL MISSION,14240000.0,8000000.0,1,Non-Professional Services,56.2
"NODAL PARTNERS, LLC",13750000.0,3671652.57,2,Professional Services,26.7
"PAGE SOUTHERLAND PAGE, INC.",13750000.0,3671652.57,2,Professional Services,26.7
"TEXAS ENERGY ENGINEERING SERVICES, INC.",13750000.0,3671652.57,2,Professional Services,26.7
GOODWIN ENGINEERING INC,13750000.0,3671652.57,2,Professional Services,26.7
JASMINE ENGINEERING INC,13750000.0,3671652.57,2,Professional Services,26.7
HD SUPPLY FACILITIES MAINTENANCE LTD,13600000.0,0.0,1,Commodities (Goods),0.0
SAFEWAY SUPPLY INC,13600000.0,0.0,1,Commodities (Goods),0.0
"FERGUSON US HOLDINGS, INC",13600000.0,0.0,1,Commodities (Goods),0.0
RILEY MOUNTAIN ENGINEERING LLC,13400000.0,10993787.15,2,Professional Services,82.0
MARSH USA INC,12812000.0,3117142.0,1,Non-Professional Services,24.3
JAY-REESE CONTRACTORS INC,12579712.05,12579712.05,1,Construction,100.0
"JINGOLI POWER, LLC",12537702.58,808617.6,1,Other Contracting,6.4
"DPC INDUSTRIES, INC",12400000.0,1783017.64,1,Commodities (Goods),14.4
"PVS MINIBULK, INC.",12400000.0,1783017.64,1,Commodities (Goods),14.4
STANLEY CONSULTANTS INC,12050000.0,10077061.96,2,Sole and Single Source,83.6
"APTIM ENVIRONMENTAL & INFRASTRUCTURE, LLC",12000000.0,11246095.55,2,Professional Services,93.7
"APTIM GOVERNMENT SOLUTIONS, LLC",12000000.0,11246095.55,2,Professional Services,93.7
TRC ENVIRONMENTAL CORPORATION,12000000.0,11246095.55,2,Professional Services,93.7
APTIM CORP.,12000000.0,11246095.55,2,Professional Services,93.7
"INTERA, INC",12000000.0,11246095.55,2,Professional Services,93.7
S & B INFRASTRUCTURE LTD,11400000.0,10681114.46,2,Professional Services,93.7
SURVEYING AND MAPPING LLC,11100000.0,3883002.09,2,Sole and Single Source | Professional Services,35.0
"EXCEL CONSTRUCTION SERVICES, L L C",10795535.0,10795535.0,2,Construction | Professional Services,100.0
CLEAN HARBORS ENVIRONMENTAL SERVICES INC,10040000.0,1614855.34,1,Non-Professional Services,16.1
LCCX LLC,10000000.0,732664.38,1,Professional Services,7.3
COMMAND COMMISSIONING LLC,10000000.0,732664.38,1,Professional Services,7.3
SEBESTA INC.,10000000.0,732664.38,1,Professional Services,7.3
"SIGNATURE AUTOMATION, LLC",10000000.0,389260.38,1,Sole and Single Source,3.9
ALAN PLUMMER ASSOCIATES INC,10000000.0,389260.38,1,Sole and Single Source,3.9
UNDERGROUND WATER SOLUTIONS CO.,9718191.530000001,9718191.530000001,4,Construction,100.0
RODRIGUEZ BARR INC,9672302.95,9672302.95,3,Other Contracting | Construction,100.0
"HILL COUNTRY FENCE, INC.",9025000.0,5557972.18,1,Non-Professional Services,61.6
HILL COUNTRY FENCE INC,9025000.0,5557972.18,1,Non-Professional Services,61.6
HEALTH CARE SERVICE CORPORATION,9000000.0,0.0,1,Non-Professional Services,0.0
BLASTCO TEXAS INC,8525438.31,8525438.31,2,Construction | Non-Professional Services,100.0
MILLER GRAY LLC,8400000.0,6298940.49,1,Professional Services,75.0
"WALKER PARTNERS, LLC",8400000.0,6298940.49,1,Professional Services,75.0
KENNEDY/JENKS CONSULTANTS INC,8400000.0,6298940.49,1,Professional Services,75.0
TETRA TECH INC,8400000.0,6298940.49,1,Professional Services,75.0
"RS&H, INC.",8012834.46,8012834.46,1,Sole and Single Source,100.0
MAC INC,7732084.5,7732084.5,1,Construction,100.0
HVJ ASSOCIATES INC,7649530.32,7235798.12,2,Professional Services | Sole and Single Source,94.6
