lgl_nm,total_spend,num_orders,vendor
TEXAS ELECTRIC COOPERATIVES,142938212.5,1760,TEXAS ELECTRIC COOPERATIVES
SILSBEE FORD INC,135416419.88,1053,SILSBEE FORD INC
SUN COAST RESOURCES INC,129156726.09,2159,SUN COAST RESOURCES INC
MOTOROLA SOLUTIONS INC,104820752.52,2685,MOTOROLA SOLUTIONS INC
TECHLINE INC,95320219.08,4139,TECHLINE INC
DELL MARKETING LP,89430951.23,11329,DELL MARKETING LP
"Siddons-Martin Emergency Group, LLC",88727828.44,117,"SIDDONS-MARTIN EMERGENCY GROUP, LLC"
Pinnacle Petroleum Incorporated,86838700.61,1388,PINNACLE PETROLEUM INCORPORATED
W W GRAINGER INC,86203592.24,25538,W W GRAINGER INC
KBS ELECTRICAL DISTRIBUTORS INC,55914859.03,1811,KBS ELECTRICAL DISTRIBUTORS INC
METRO FIRE APPARATUS SPECIALISTS INC,54730177.21,461,METRO FIRE APPARATUS SPECIALISTS INC
"Meter Readings Holding, LLC",51058366.91,2,"METER READINGS HOLDING, LLC"
RUSH TRUCK CENTERS OF TEXAS LP,47721460.4,188,RUSH TRUCK CENTERS OF TEXAS LP
CDW LLC,47473882.32,2456,CDW LLC
LONGHORN INTERNATIONAL TRUCKS LTD,41824610.08,306,LONGHORN INTERNATIONAL TRUCKS LTD
AUSTIN WHITE LIME CO,41043213.52,450,AUSTIN WHITE LIME CO
PREMIER MAGNESIA LLC,39536037.3,497,PREMIER MAGNESIA LLC
INSIGHT PUBLIC SECTOR INC,39118602.82,2781,INSIGHT PUBLIC SECTOR INC
"Axon Enterprise, Inc.",38592790.11,83,"AXON ENTERPRISE, INC."
TEXAN WASTE EQUIPMENT INC,38015382.61,131,TEXAN WASTE EQUIPMENT INC
PRIESTER-MELL & NICHOLSON INC,36138811.92,1584,PRIESTER-MELL & NICHOLSON INC
APAC-TEXAS INC,35068196.37,4423,APAC-TEXAS INC
"Summus Industries, Inc.",34799346.31,1630,"SUMMUS INDUSTRIES, INC."
PHILPOTT MOTORS LTD,32650786.6,307,PHILPOTT MOTORS LTD
TOTER LLC,32426800.84,125,TOTER LLC
PRIESTER-MELL & NICHOLSON INC.,32373963.06,880,PRIESTER-MELL & NICHOLSON INC.
Asphalt Inc LLC,30731521.81,282,ASPHALT INC LLC
