vendor,total_authorized,total_ordered,num_contracts,categories,utilization_pct,source
AECOM TECHNICAL SERVICES INC,334338976.41,257887078.13,12,Sole and Single Source | Professional Services,77.1,Professional Services / Contracts
HDR ENGINEERING INC,277856253.0,184124619.65,10,Sole and Single Source | Professional Services,66.3,Professional Services / Contracts
SANTA CLARA CONSTRUCTION LTD,54803109.29,44136876.64,10,Construction,80.5,Professional Services / Contracts
HALFF ASSOCIATES INC,231630000.0,169372961.9,9,Sole and Single Source | Professional Services,73.1,Professional Services / Contracts
CP&Y INC,192923450.03,157052716.77,8,Sole and Single Source | Professional Services,81.4,Professional Services / Contracts
FACILITIES REHABILITATION INC,30523076.74,30523076.74,8,Construction,100.0,Professional Services / Contracts
"BGE, INC",245329999.9,170530552.84,7,Sole and Single Source | Professional Services,69.5,Professional Services / Contracts
LOCKWOOD ANDREWS & NEWNAM INC,220429999.9,176121720.47,7,Sole and Single Source | Professional Services,79.9,Professional Services / Contracts
"H.W. LOCHNER, INC.",101858526.65,60011958.08,7,Sole and Single Source | Professional Services,58.9,Professional Services / Contracts
K FRIESE & ASSOC INC,101858526.65,60011958.08,7,Sole and Single Source | Professional Services,58.9,Professional Services / Contracts
WESTON SOLUTIONS INC,43593834.72,39310368.45,7,Professional Services | Construction,90.2,Professional Services / Contracts
FREESE AND NICHOLS INC,254030000.0,180936868.06,7,Sole and Single Source | Professional Services,71.2,Professional Services / Contracts
"PGC GENERAL CONTRACTORS, LLC",49580069.17,40651595.61,7,Construction,82.0,Professional Services / Contracts
CDM SMITH INC,173769150.24,149435865.38,7,Sole and Single Source | Professional Services,86.0,Professional Services / Contracts
AUSTIN UNDERGROUND INC,34896076.41,34896076.41,6,Construction,100.0,Professional Services / Contracts
MWM DESIGNGROUP INC,56700000.0,26736638.9,6,Sole and Single Source | Professional Services,47.2,Professional Services / Contracts
URS CORP,34864575.06,27959710.66,6,Professional Services | Sole and Single Source,80.2,Professional Services / Contracts
JACOBS ENGINEERING GROUP INC,77799999.9,45578069.59,6,Professional Services | Sole and Single Source,58.6,Professional Services / Contracts
DENUCCI CONSTRUCTORS L L C,63718684.87,57024792.8,6,Construction,89.5,Professional Services / Contracts
DOUCET & ASSOCIATES INC,92229999.9,65036659.699999996,6,Sole and Single Source | Professional Services,70.5,Professional Services / Contracts
BINKLEY & BARFIELD INC,206210637.72,152175587.79,6,Sole and Single Source | Professional Services,73.8,Professional Services / Contracts
"CAS CONSULTING AND SERVICES, INC.",58163146.34,38149776.63,5,Professional Services | Sole and Single Source,65.6,Professional Services / Contracts
MUNIZ CONCRETE & CONTRACTING INC,29658740.21,23165613.330000002,5,Construction,78.1,Professional Services / Contracts
M.A. SMITH CONTRACTING CO INC,38611109.94,38611109.94,5,Construction,100.0,Professional Services / Contracts
"RPS INFRASTRUCTURE, INC.",85500000.0,30984117.810000002,5,Professional Services | Sole and Single Source,36.2,Professional Services / Contracts
"MATOUS CONSTRUCTION II, LTD",41485435.38,41485435.38,5,Construction | Commodities (Goods),100.0,Professional Services / Contracts
HARUTUNIAN ENGINEERING INC,27321934.45,16975855.560000002,4,Sole and Single Source | Professional Services,62.1,Professional Services / Contracts
UNDERGROUND WATER SOLUTIONS CO.,9718191.530000001,9718191.530000001,4,Construction,100.0,Professional Services / Contracts
ALPHA PAVING INDUSTRIES LLC,47000000.0,32756723.4,4,Construction,69.7,Professional Services / Contracts
"UNITY CONTRACTOR SERVICES, INC",42352000.0,11388744.16,4,Non-Professional Services | Construction | Commodities (Goods),26.9,Professional Services / Contracts
BLACK & VEATCH CORPORATION,44999999.9,33086494.800000004,4,Sole and Single Source,73.5,Professional Services / Contracts
COBB FENDLEY & ASSOC INC,49500000.0,11388887.32,4,Professional Services | Sole and Single Source,23.0,Professional Services / Contracts
"PAPE-DAWSON CONSULTING ENGINEERS, LLC",60700000.0,16442469.18,4,Professional Services | Sole and Single Source,27.1,Professional Services / Contracts
FLINTCO LLC,96591385.68,91915279.68,4,Construction | Other Contracting,95.2,Professional Services / Contracts
ARCADIS US INC,35000000.0,23667443.28,3,Sole and Single Source,67.6,Professional Services / Contracts
PAPE-DAWSON CONSULTING ENGINEERS INC,42000000.0,10574330.100000001,3,Professional Services | Sole and Single Source,25.2,Professional Services / Contracts
CHAN & PARTNERS ENGINEERING LLC,32499999.9,30487277.63,3,Sole and Single Source | Professional Services,93.8,Professional Services / Contracts
DAVCAR INC,23899999.9,22279200.18,3,Sole and Single Source | Professional Services,93.2,Professional Services / Contracts
"RABA KISTNER, INC.",21400000.0,8184475.36,3,Sole and Single Source | Professional Services,38.2,Professional Services / Contracts
"ARDURRA GROUP, INC.",20200000.0,16743150.75,3,Professional Services | Sole and Single Source,82.9,Professional Services / Contracts
VICKREY & ASSOC LLC,19800000.0,16980054.95,3,Professional Services,85.8,Professional Services / Contracts
STANTEC CONSULTING SERVICES INC,17038767.65,16152665.93,3,Sole and Single Source | Professional Services,94.8,Professional Services / Contracts
KURKJIAN ENGINEERING CORP,16400000.0,15375961.120000001,3,Professional Services,93.8,Professional Services / Contracts
RODRIGUEZ BARR INC,9672302.95,9672302.95,3,Other Contracting | Construction,100.0,Professional Services / Contracts
AUSTIN CONSTRUCTORS LLC,7500000.0,3688741.94,3,Construction,49.2,Professional Services / Contracts
