doc_cd,doc_dept_cd,doc_id,doc_vers_no,doc_dscr,contract_contact_nm,contract_contact_voice_ph_no,contract_contact_email_ad,ma_prch_lmt_am,ma_itd_ord_am,ma_do_rfed_am,efbgn_dt,efend_dt,gnrc_po_rpt_1,rpt_dscr,brd_awd_dt,brd_awd_no,cat_dscr,doc_vend_ln_no,vend_cust_cd,lgl_nm,alias_nm,so_doc_cd,so_doc_dept_cd,so_doc_id,today,row_key
MA,6100,SA220000021,3,CMR SERVICES FOR BARBARA JORDAN TERMINAL (BJT) OPTIMIZATION,Capital Contracting Office,unknown,unknown,120580044,120580044,8649140,2022-08-19T00:00:00.000Z,2025-03-31T00:00:00.000Z,15,Alt Proc Method (252),0022-06-16T00:00:00.000Z,17,Other Contracting,1,HEN6049645,HENSEL PHELPS CONSTRUCTION CO,N/A,RFQS,6100,CLMA045,2026-05-11T00:00:00.000Z,MA6100SA2200000213HEN6049645
CT,6100,22110700063,1,SOUTH AUSTIN REGIONAL WWTP TRAINS A & B IMPROVEMENTS,Contract and Land Management Department,unknown,unknown,116000852,116000852,4267922.73,2023-03-29T00:00:00.000Z,,10,Competitive Acquisition,0022-10-27T00:00:00.000Z,15,Construction,1,VS0000018981,MWH CONSTRUCTORS INC,N/A,IFB,6100,CLMC928,2026-05-11T00:00:00.000Z,CT6100221107000631VS0000018981
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,2018-04-27T00:00:00.000Z,2025-04-26T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0018-03-22T00:00:00.000Z,36,Sole and Single Source,6,CAM0933250,CDM SMITH INC,N/A,RFQS,6100,CLMP240,2026-05-11T00:00:00.000Z,MA6100PA180000027109CAM0933250
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,2018-04-27T00:00:00.000Z,2025-04-26T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0018-03-22T00:00:00.000Z,36,Sole and Single Source,4,BRO8318275,"BGE, INC",BROWN & GAY ENGINEERS INC,RFQS,6100,CLMP240,2026-05-11T00:00:00.000Z,MA6100PA180000027109BRO8318275
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,2018-04-27T00:00:00.000Z,2025-04-26T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0018-03-22T00:00:00.000Z,36,Sole and Single Source,8,BIN7163385,BINKLEY & BARFIELD INC,N/A,RFQS,6100,CLMP240,2026-05-11T00:00:00.000Z,MA6100PA180000027109BIN7163385
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,2018-04-27T00:00:00.000Z,2025-04-26T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0018-03-22T00:00:00.000Z,36,Sole and Single Source,10,ALL7111300,ALLIANCE TRANSPORTATION GROUP LLC,N/A,RFQS,6100,CLMP240,2026-05-11T00:00:00.000Z,MA6100PA180000027109ALL7111300
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,2018-04-27T00:00:00.000Z,2025-04-26T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0018-03-22T00:00:00.000Z,36,Sole and Single Source,3,LOC2921000,LOCKWOOD ANDREWS & NEWNAM INC,N/A,RFQS,6100,CLMP240,2026-05-11T00:00:00.000Z,MA6100PA180000027109LOC2921000
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,2018-04-27T00:00:00.000Z,2025-04-26T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0018-03-22T00:00:00.000Z,36,Sole and Single Source,5,KIM7074000,"KIMLEY-HORN AND ASSOCIATES, INC",N/A,RFQS,6100,CLMP240,2026-05-11T00:00:00.000Z,MA6100PA180000027109KIM7074000
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,2018-04-27T00:00:00.000Z,2025-04-26T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0018-03-22T00:00:00.000Z,36,Sole and Single Source,1,HAL7038625,HALFF ASSOCIATES INC,HALFF,RFQS,6100,CLMP240,2026-05-11T00:00:00.000Z,MA6100PA180000027109HAL7038625
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,2018-04-27T00:00:00.000Z,2025-04-26T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0018-03-22T00:00:00.000Z,36,Sole and Single Source,7,FRE1930500,FREESE AND NICHOLS INC,FREESE AND NICHOLS,RFQS,6100,CLMP240,2026-05-11T00:00:00.000Z,MA6100PA180000027109FRE1930500
