lgl_nm,total_spend,num_orders
TEXAS ELECTRIC COOPERATIVES,142938212.50,1760
SILSBEE FORD INC,135416419.88,1053
SUN COAST RESOURCES INC,129156726.09,2159
MOTOROLA SOLUTIONS INC,104820752.52,2685
TECHLINE INC,95320219.08,4139
DELL MARKETING LP,89430951.23,11329
"Siddons-Martin Emergency Group, LLC",88727828.44,117
Pinnacle Petroleum Incorporated,86838700.61,1388
W W GRAINGER INC,86203592.24,25538
KBS ELECTRICAL DISTRIBUTORS INC,55914859.03,1811
METRO FIRE APPARATUS SPECIALISTS INC,54730177.21,461
"Meter Readings Holding, LLC",51058366.91,2
RUSH TRUCK CENTERS OF TEXAS LP,47721460.40,188
CDW LLC,47473882.32,2456
LONGHORN INTERNATIONAL TRUCKS LTD,41824610.08,306
AUSTIN WHITE LIME CO,41043213.52,450
PREMIER MAGNESIA LLC,39536037.30,497
INSIGHT PUBLIC SECTOR INC,39118602.82,2781
"Axon Enterprise, Inc.",38592790.11,83
TEXAN WASTE EQUIPMENT INC,38015382.61,131
PRIESTER-MELL & NICHOLSON INC,36138811.92,1584
APAC-TEXAS INC,35068196.37,4423
"Summus Industries, Inc.",34799346.31,1630
PHILPOTT MOTORS LTD,32650786.60,307
TOTER LLC,32426800.84,125
PRIESTER-MELL & NICHOLSON INC.,32373963.06,880
Asphalt Inc LLC,30731521.81,282
"LAKE COUNTRY CHEVROLET, INC",29742623.46,275
FREEIT DATA SOLUTIONS INC,28567460.23,288
GALLS LLC,27053166.27,1133
SANTEX TRUCK CENTER LTD,24447634.08,131
ERGON ASPHALT & EMULSIONS INC,23717159.28,2069
SMS LLC,23555140.55,187
"WESCO DISTRIBUTION, INC.",21527552.48,823
HOME DEPOT USA INC,21386047.58,1024
"GTS Technology Solutions, Inc.",20791742.75,1153
HD Hyundai Electric America Corporation,20291680,6
"Ferguson US Holdings, Inc",20202104.31,456
"OverDrive, Inc.",19992463.71,312
"Doggett Freightliner of South Texas, LLC",19480017.21,89
72 Hour LLC,18668416.48,199
Offutt Companies Inc.,18393893.98,256
"LHOIST NORTH AMERICA OF TEXAS, LLC",18203234.26,57
"Posillico Civil, Inc",18193012.33,8
"Galls Parent Holdings, LLC",17501491.57,124
PVS DX INC,16478397.15,101
YOUNGBLOOD AUTOMOTIVE & TIRE LLC,15681143.66,325
BADGER METER INC,15324248.78,622
POWER SUPPLY INC,15094747.05,1232
BOUND TREE MEDICAL L L C,15046943.86,3109
AUSTIN TRUCK & EQUIPMENT INC LTD,14391057.99,123
GULF COAST PAPER CO INC,14098469.17,5266
"Delta Star, Inc.",12905239,14
GT DISTRIBUTORS INC,12687791.90,3055
Core & Main LP,12665283.76,3323
Netsync Network Solutions,12518248.19,384
PARKEON INC,12505791.63,340
CENTRAL TEXAS HEAVY EQUIPMENT COMPANY,12424898.81,141
CHASTANG ENTERPRISES INC,12369684.15,45
INGRAM LIBRARY SERVICES INC,12327515.40,1042
MAGNUM CUSTOM TRAILER MFG CO INC,11941209.78,359
CALDWELL COUNTRY CHEVROLET,11934275.00,217
CONTROL PANELS USA INC,11932234.61,133
PIONEER TRANSFORMERS LTD,11776182.84,131
INDUSTRIAL ASPHALT LLC,11729710.11,562
SID TOOL CO INC,11131383.93,10397
INTERNATIONAL BUSINESS MACHINES CORPORATION,11095061.91,78
MILLER UNIFORMS & EMBLEMS INC,11047516.28,5821
GRANDE FORD TRUCK SALES INC,10475006.91,18
MARK III SYSTEMS INC,10428208.73,85
POWELL ELECTRICAL SYSTEMS INC,10414603.92,77
DXI INDUSTRIES INC,10150804.89,884
RDO EQUIPMENT CO,10078987.67,166
VULCAN CONSTRUCTION MATERIALS LLC,9753726.10,307
MCKESSON MEDICAL-SURGICAL INC,9713490.14,2318
SHI-GOVERNMENT SOLUTIONS INC,9422312.22,942
POLYDYNE INC,9313237.71,134
MATERA PAPER COMPANY INC,9132128.54,284
TYMCO INC,8986183.1,16
COOPER EQUIPMENT CO INC,8840025.15,109
SIDDONS FIRE APPARATUS INC,8770075.64,20
DELL FINANCIAL SERVICES LLC,8694846.22,96
AUSTIN RIBBON & COMPUTER SUPPLIES INC,8531485.24,505
ZOLL Medical Corporation,8412349.04,858
STAPLES CONTRACT & COMMERCIAL INC,8359836.52,40
SIRIUS COMPUTER SOLUTIONS INC,8160422.81,139
Ingram Industries Inc.,8113918.29,114
COMMUNITY TRUCKING LLC,8101766.01,2140
GRAPEVINE DODGE CHRYSLER JEEP LLC,8078447.39,91
MUNICIPAL EMERGENCY SERVICES INC,7931652.53,237
OLDCASTLE MATERIALS TEXAS INC,7855516.59,423
