vendor,total_authorized,total_ordered,num_contracts,departments,categories,utilization,source
AECOM TECHNICAL SERVICES INC,334338976.41,257887078.13,12,Austin Water Utility / Economic Development,Sole and Single Source / Professional Services,77.1,Professional Services
HDR ENGINEERING INC,277856253.0,184124619.65,10,Austin Water Utility,Sole and Single Source / Professional Services,66.3,Professional Services
FREESE AND NICHOLS INC,254030000.0,180936868.06,7,Austin Water Utility,Sole and Single Source / Professional Services,71.2,Professional Services
"BGE, INC",245329999.9,170530552.84,7,Austin Water Utility,Sole and Single Source / Professional Services,69.5,Professional Services
HALFF ASSOCIATES INC,231630000.0,169372961.9,9,Austin Water Utility,Sole and Single Source / Professional Services,73.1,Professional Services
LOCKWOOD ANDREWS & NEWNAM INC,220429999.9,176121720.47,7,Austin Water Utility,Sole and Single Source / Professional Services,79.9,Professional Services
BINKLEY & BARFIELD INC,206210637.72,152175587.79,6,Austin Water Utility,Sole and Single Source / Professional Services,73.8,Professional Services
CP&Y INC,192923450.03,157052716.77,8,Austin Water Utility,Sole and Single Source / Professional Services,81.4,Professional Services
CDM SMITH INC,173769150.24,149435865.38,7,Austin Water Utility,Sole and Single Source / Professional Services,86.0,Professional Services
HENSEL PHELPS CONSTRUCTION CO,168580044.0,136758048.8,2,Austin Water Utility,Other Contracting,81.1,Professional Services
"KIMLEY-HORN AND ASSOCIATES, INC",145000000.0,112667361.92,2,Austin Water Utility,Sole and Single Source / Professional Services,77.7,Professional Services
MWH CONSTRUCTORS INC,116000852.0,116000852.0,1,Austin Water Utility,Construction,100.0,Professional Services
MATOUS CONSTRUCTION LTD,115264516.36,115264516.36,2,Austin Water Utility,Construction,100.0,Professional Services
"DEC - CENTRAL TEXAS, LLC",115000000.0,111460417.18,1,Austin Water Utility,Sole and Single Source,96.9,Professional Services
ALLIANCE TRANSPORTATION GROUP LLC,115000000.0,111460417.18,1,Austin Water Utility,Sole and Single Source,96.9,Professional Services
"H.W. LOCHNER, INC.",101858526.65,60011958.08,7,Austin Water Utility,Sole and Single Source / Professional Services,58.9,Professional Services
K FRIESE & ASSOC INC,101858526.65,60011958.08,7,Austin Water Utility,Sole and Single Source / Professional Services,58.9,Professional Services
FLINTCO LLC,96591385.68,91915279.68,4,Austin Water Utility,Construction / Other Contracting,95.2,Professional Services
DOUCET & ASSOCIATES INC,92229999.9,65036659.699999996,6,Austin Water Utility,Sole and Single Source / Professional Services,70.5,Professional Services
"RPS INFRASTRUCTURE, INC.",85500000.0,30984117.810000002,5,Austin Water Utility,Professional Services / Sole and Single Source,36.2,Professional Services
JACOBS ENGINEERING GROUP INC,77799999.9,45578069.59,6,Austin Water Utility,Professional Services / Sole and Single Source,58.6,Professional Services
DENUCCI CONSTRUCTORS L L C,63718684.87,57024792.8,6,Austin Water Utility,Construction,89.5,Professional Services
"PAPE-DAWSON CONSULTING ENGINEERS, LLC",60700000.0,16442469.18,4,Austin Water Utility,Sole and Single Source / Professional Services,27.1,Professional Services
"CAS CONSULTING AND SERVICES, INC.",58163146.34,38149776.63,5,Austin Water Utility,Professional Services / Sole and Single Source,65.6,Professional Services
T MORALES COMPANY ELECTRIC & CONTROLS LTD,57503644.09,57503644.09,2,Austin Water Utility,Non-Professional Services / Construction,100.0,Professional Services
MWM DESIGNGROUP INC,56700000.0,26736638.9,6,Austin Water Utility,Sole and Single Source / Professional Services,47.2,Professional Services
MASTEC NORTH AMERICA INC,56000000.0,42417026.39,2,Austin Water Utility,Other Contracting / Construction,75.7,Professional Services
SANTA CLARA CONSTRUCTION LTD,54803109.29,44136876.64,10,Austin Water Utility,Construction,80.5,Professional Services
"PLW WATERWORKS, LLC",52747095.47,52747095.47,2,Austin Water Utility,Construction,100.0,Professional Services
"VELIZ COMPANY, LLC",52022347.23,20200352.03,2,Austin Water Utility,Other Contracting / Construction,38.8,Professional Services
"PGC GENERAL CONTRACTORS, LLC",49580069.17,40651595.61,7,Austin Water Utility,Construction,82.0,Professional Services
COBB FENDLEY & ASSOC INC,49500000.0,11388887.32,4,Austin Water Utility,Professional Services / Sole and Single Source,23.0,Professional Services
"ALLEGIS GROUP HOLDINGS, INC.",48375000.0,33260542.71,1,Austin Water Utility,Sole and Single Source,68.8,Professional Services
"CENTENNIAL CONTRACTORS ENTERPRISES, INC.",48000000.0,16178004.8,1,Austin Water Utility,Other Contracting,33.7,Professional Services
ALPHA BUILDING CORPORATION,48000000.0,16178004.8,1,Austin Water Utility,Other Contracting,33.7,Professional Services
BROWN & ROOT INDUSTRIAL SERVICES LLC,48000000.0,16178004.8,1,Austin Water Utility,Other Contracting,33.7,Professional Services
JAMAIL & SMITH CONSTRUCTION LP,48000000.0,16178004.8,1,Austin Water Utility,Other Contracting,33.7,Professional Services
"BASIC IDIQ, INC.",48000000.0,16178004.8,1,Austin Water Utility,Other Contracting,33.7,Professional Services
WARDEN CONSTRUCTION CORPORATION,48000000.0,16178004.8,1,Austin Water Utility,Other Contracting,33.7,Professional Services
ALPHA PAVING INDUSTRIES LLC,47000000.0,32756723.4,4,Austin Water Utility,Construction,69.7,Professional Services
WATERSHED SOLUTIONS JV LLC,45030000.0,24367439.49,1,Austin Water Utility,Sole and Single Source,54.1,Professional Services
BLACK & VEATCH CORPORATION,44999999.9,33086494.800000004,4,Austin Water Utility,Sole and Single Source,73.5,Professional Services
WESTON SOLUTIONS INC,43593834.72,39310368.45,7,Austin Water Utility,Professional Services / Construction,90.2,Professional Services
ALLIANT INSURANCE SERVICES INC.,42583179.0,7681956.0,1,Parks & Recreation,Non-Professional Services,18.0,Professional Services
"MGC CONTRACTORS, INC.",42455693.66,42455693.66,1,Austin Water Utility,Construction,100.0,Professional Services
"UNITY CONTRACTOR SERVICES, INC",42352000.0,11388744.16,4,Watershed Protection / Austin Water Utility,Non-Professional Services / Construction,26.9,Professional Services
PAPE-DAWSON CONSULTING ENGINEERS INC,42000000.0,10574330.100000001,3,Austin Water Utility,Professional Services / Sole and Single Source,25.2,Professional Services
"MATOUS CONSTRUCTION II, LTD",41485435.38,41485435.38,5,Austin Water Utility,Construction / Commodities (Goods),100.0,Professional Services
M.A. SMITH CONTRACTING CO INC,38611109.94,38611109.94,5,Austin Water Utility,Construction,100.0,Professional Services
ARCADIS US INC,35000000.0,23667443.28,3,Austin Water Utility,Sole and Single Source,67.6,Professional Services
AUSTIN UNDERGROUND INC,34896076.41,34896076.41,6,Austin Water Utility,Construction,100.0,Professional Services
URS CORP,34864575.06,27959710.66,6,Austin Water Utility,Professional Services / Sole and Single Source,80.2,Professional Services
"CIVILITUDE, LLC",33000000.0,8708946.96,2,Austin Water Utility,Sole and Single Source,26.4,Professional Services
CHAN & PARTNERS ENGINEERING LLC,32499999.9,30487277.63,3,Austin Water Utility,Sole and Single Source / Professional Services,93.8,Professional Services
CAROLLO ENGINEERS INC,31662792.259999998,30676314.43,2,Austin Water Utility,Sole and Single Source,96.9,Professional Services
FACILITIES REHABILITATION INC,30523076.74,30523076.74,8,Austin Water Utility,Construction,100.0,Professional Services
DKS ASSOCIATES,30000000.0,1206944.74,1,Austin Water Utility,Professional Services,4.0,Professional Services
"JOHNSON, MIRMIRAN & THOMPSON, INC.",30000000.0,1206944.74,1,Austin Water Utility,Professional Services,4.0,Professional Services
"HUITT-ZOLLARS, INC.",30000000.0,1206944.74,1,Austin Water Utility,Professional Services,4.0,Professional Services
VOLKERT INC.,30000000.0,1206944.74,1,Austin Water Utility,Professional Services,4.0,Professional Services
"TOOLE DESIGN GROUP, LLC",30000000.0,9928121.5,2,Austin Water Utility,Professional Services / Sole and Single Source,33.1,Professional Services
MUNIZ CONCRETE & CONTRACTING INC,29658740.21,23165613.330000002,5,Austin Water Utility,Construction,78.1,Professional Services
HARUTUNIAN ENGINEERING INC,27321934.45,16975855.560000002,4,Austin Water Utility,Sole and Single Source / Professional Services,62.1,Professional Services
ABESCAPE GROUP LLC,26450000.0,3738714.1,2,Watershed Protection / 6200,Non-Professional Services,14.1,Professional Services
"CH2M HILL ENGINEERS, INC.",25000000.0,23278182.900000002,2,Austin Water Utility,Sole and Single Source,93.1,Professional Services
PARSONS WATER & INFRASTRUCTURE INC,24000000.0,5999352.57,1,Austin Water Utility,Professional Services,25.0,Professional Services
AUSTIN MATERIALS LLC,24000000.0,14626374.77,1,Austin Water Utility,Construction,60.9,Professional Services
ASPHALT INC LLC,24000000.0,14626374.77,1,Austin Water Utility,Construction,60.9,Professional Services
DAVCAR INC,23899999.9,22279200.18,3,Austin Water Utility,Sole and Single Source / Professional Services,93.2,Professional Services
ESPEY CONSULTANTS INC,22500000.0,21068226.11,2,Austin Water Utility,Sole and Single Source / Professional Services,93.6,Professional Services
CORZA CONSTRUCTION LLC,22400000.0,1725214.59,1,Watershed Protection,Non-Professional Services,7.7,Professional Services
INCIRCLE MANAGEMENT INC,22400000.0,1725214.59,1,Watershed Protection,Non-Professional Services,7.7,Professional Services
"PYRAMID CONTRACTING SERVICES, INC.",22400000.0,1725214.59,1,Watershed Protection,Non-Professional Services,7.7,Professional Services
CH2M HILL INC,22100902.63,21114424.8,2,Austin Water Utility,Sole and Single Source,95.5,Professional Services
"RABA KISTNER, INC.",21400000.0,8184475.36,3,Austin Water Utility,Sole and Single Source / Professional Services,38.2,Professional Services
"POSILLICO CIVIL, INC",21366910.0,21366910.0,1,Austin Water Utility,Construction,100.0,Professional Services
"ARDURRA GROUP, INC.",20200000.0,16743150.75,3,Austin Water Utility,Professional Services / Sole and Single Source,82.9,Professional Services
AUSTIN WHITE LIME CO,20066000.0,14004259.28,1,Transportation & Public Works,Commodities (Goods),69.8,Professional Services
"LHOIST NORTH AMERICA OF TEXAS, LLC",20066000.0,14004259.28,1,Transportation & Public Works,Commodities (Goods),69.8,Professional Services
RODRIGUEZ ENGINEERING LABORATORIES LLC,20000000.0,7736566.21,2,Austin Water Utility,Sole and Single Source / Professional Services,38.7,Professional Services
"HVJ SOUTH CENTRAL TEXAS - M&J, INC.",20000000.0,7736566.21,2,Austin Water Utility,Sole and Single Source / Professional Services,38.7,Professional Services
"FUGRO USA LAND, INC",20000000.0,7736566.21,2,Austin Water Utility,Sole and Single Source / Professional Services,38.7,Professional Services
"KLEINFELDER, INC.",20000000.0,7736566.21,2,Austin Water Utility,Sole and Single Source / Professional Services,38.7,Professional Services
VICKREY & ASSOC LLC,19800000.0,16980054.95,3,Austin Water Utility,Professional Services,85.8,Professional Services
ATKINS NORTH AMERICA INC,17499999.9,16292932.379999999,2,Austin Water Utility,Sole and Single Source / Professional Services,93.1,Professional Services
CASH CONSTRUCTION CO INC,17040572.4,17040572.4,2,Austin Water Utility,Construction,100.0,Professional Services
STANTEC CONSULTING SERVICES INC,17038767.65,16152665.93,3,Austin Water Utility,Sole and Single Source / Professional Services,94.8,Professional Services
KURKJIAN ENGINEERING CORP,16400000.0,15375961.120000001,3,Austin Water Utility,Professional Services,93.8,Professional Services
ENERGY ENGINEERING ASSOC INC,15007499.05,5740163.43,2,Austin Water Utility,Professional Services / Sole and Single Source,38.2,Professional Services
TERRACON CONSULTANTS INC,15000000.0,3304066.21,1,Austin Water Utility,Sole and Single Source,22.0,Professional Services
SPAWGLASS CONTRACTORS INC,14271972.81,14271972.81,1,Austin Water Utility,Other Contracting,100.0,Professional Services
EL BUEN SAMARITANO EPISCOPAL MISSION,14240000.0,8000000.0,1,Austin Resource Recovery,Non-Professional Services,56.2,Professional Services
"NODAL PARTNERS, LLC",13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
"PAGE SOUTHERLAND PAGE, INC.",13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
"TEXAS ENERGY ENGINEERING SERVICES, INC.",13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
GOODWIN ENGINEERING INC,13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
JASMINE ENGINEERING INC,13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
HD SUPPLY FACILITIES MAINTENANCE LTD,13600000.0,0.0,1,Austin Energy,Commodities (Goods),0.0,Professional Services
SAFEWAY SUPPLY INC,13600000.0,0.0,1,Austin Energy,Commodities (Goods),0.0,Professional Services
"FERGUSON US HOLDINGS, INC",13600000.0,0.0,1,Austin Energy,Commodities (Goods),0.0,Professional Services
RILEY MOUNTAIN ENGINEERING LLC,13400000.0,10993787.15,2,Austin Water Utility,Professional Services,82.0,Professional Services
MARSH USA INC,12812000.0,3117142.0,1,Parks & Recreation,Non-Professional Services,24.3,Professional Services
JAY-REESE CONTRACTORS INC,12579712.05,12579712.05,1,Austin Water Utility,Construction,100.0,Professional Services
"JINGOLI POWER, LLC",12537702.58,808617.6,1,Austin Water Utility,Other Contracting,6.4,Professional Services
"DPC INDUSTRIES, INC",12400000.0,1783017.64,1,Austin Energy,Commodities (Goods),14.4,Professional Services
"PVS MINIBULK, INC.",12400000.0,1783017.64,1,Austin Energy,Commodities (Goods),14.4,Professional Services
STANLEY CONSULTANTS INC,12050000.0,10077061.96,2,Austin Water Utility,Sole and Single Source,83.6,Professional Services
"APTIM ENVIRONMENTAL & INFRASTRUCTURE, LLC",12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
"APTIM GOVERNMENT SOLUTIONS, LLC",12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
TRC ENVIRONMENTAL CORPORATION,12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
APTIM CORP.,12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
"INTERA, INC",12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
S & B INFRASTRUCTURE LTD,11400000.0,10681114.46,2,Austin Water Utility,Professional Services,93.7,Professional Services
SURVEYING AND MAPPING LLC,11100000.0,3883002.09,2,Austin Water Utility,Sole and Single Source / Professional Services,35.0,Professional Services
"EXCEL CONSTRUCTION SERVICES, L L C",10795535.0,10795535.0,2,Austin Water Utility,Construction / Professional Services,100.0,Professional Services
CLEAN HARBORS ENVIRONMENTAL SERVICES INC,10040000.0,1614855.34,1,Austin Energy,Non-Professional Services,16.1,Professional Services
LCCX LLC,10000000.0,732664.38,1,Austin Water Utility,Professional Services,7.3,Professional Services
COMMAND COMMISSIONING LLC,10000000.0,732664.38,1,Austin Water Utility,Professional Services,7.3,Professional Services
SEBESTA INC.,10000000.0,732664.38,1,Austin Water Utility,Professional Services,7.3,Professional Services
"SIGNATURE AUTOMATION, LLC",10000000.0,389260.38,1,Austin Water Utility,Sole and Single Source,3.9,Professional Services
ALAN PLUMMER ASSOCIATES INC,10000000.0,389260.38,1,Austin Water Utility,Sole and Single Source,3.9,Professional Services
UNDERGROUND WATER SOLUTIONS CO.,9718191.530000001,9718191.530000001,4,Austin Water Utility,Construction,100.0,Professional Services
RODRIGUEZ BARR INC,9672302.95,9672302.95,3,Austin Water Utility,Other Contracting / Construction,100.0,Professional Services
"HILL COUNTRY FENCE, INC.",9025000.0,5557972.18,1,Transportation & Public Works,Non-Professional Services,61.6,Professional Services
HILL COUNTRY FENCE INC,9025000.0,5557972.18,1,Transportation & Public Works,Non-Professional Services,61.6,Professional Services
HEALTH CARE SERVICE CORPORATION,9000000.0,0.0,1,Parks & Recreation,Non-Professional Services,0.0,Professional Services
BLASTCO TEXAS INC,8525438.31,8525438.31,2,Austin Water Utility,Construction / Non-Professional Services,100.0,Professional Services
MILLER GRAY LLC,8400000.0,6298940.49,1,Austin Water Utility,Professional Services,75.0,Professional Services
"WALKER PARTNERS, LLC",8400000.0,6298940.49,1,Austin Water Utility,Professional Services,75.0,Professional Services
KENNEDY/JENKS CONSULTANTS INC,8400000.0,6298940.49,1,Austin Water Utility,Professional Services,75.0,Professional Services
TETRA TECH INC,8400000.0,6298940.49,1,Austin Water Utility,Professional Services,75.0,Professional Services
