doc_dept_cd,dept_name,total,contracts,vendors
6100,Austin Water Utility,6305392568.4,420,185
6300,Watershed Protection,112000000.0,5,5
5000,Austin Energy,108760000.0,12,12
2200,Transportation & Public Works,85422730.0,13,13
5800,Parks & Recreation,76195179.0,13,13
6200,6200,25390000.0,6,6
2400,Public Works — Capital Projects,16489500.0,3,3
7200,Austin Resource Recovery,14240000.0,1,1
9200,Office of Innovation,12500000.0,4,4
7800,Austin Police Department,7626880.0,4,4
1500,Austin Public Library,7563120.0,3,3
8100,Development Services,6600000.0,4,4
5500,Economic Development,4500000.0,3,3
7400,Planning Dept,3843000.0,2,2
8600,Austin Public Health,3166000.0,2,2
4600,Communications & Technology Mgmt,3066272.0,1,1
9100,Finance,2079820.2,2,2
8500,Equity Office,1200000.0,1,1
9300,Human Resources,1030000.0,1,1
