,vendor,total_authorized,total_ordered,num_contracts,utilization_pct,categories,source
1,AECOM TECHNICAL SERVICES INC,334338976.41,257887078.13,12,77.1,Sole and Single Source | Professional Services,Professional Services / Contracts
2,HDR ENGINEERING INC,277856253.0,184124619.65,10,66.3,Sole and Single Source | Professional Services,Professional Services / Contracts
3,FREESE AND NICHOLS INC,254030000.0,180936868.06,7,71.2,Sole and Single Source | Professional Services,Professional Services / Contracts
4,"BGE, INC",245329999.9,170530552.84,7,69.5,Sole and Single Source | Professional Services,Professional Services / Contracts
5,HALFF ASSOCIATES INC,231630000.0,169372961.9,9,73.1,Sole and Single Source | Professional Services,Professional Services / Contracts
6,LOCKWOOD ANDREWS & NEWNAM INC,220429999.9,176121720.47,7,79.9,Sole and Single Source | Professional Services,Professional Services / Contracts
7,BINKLEY & BARFIELD INC,206210637.72,152175587.79,6,73.8,Sole and Single Source | Professional Services,Professional Services / Contracts
8,CP&Y INC,192923450.03,157052716.77,8,81.4,Sole and Single Source | Professional Services,Professional Services / Contracts
9,CDM SMITH INC,173769150.24,149435865.38,7,86.0,Sole and Single Source | Professional Services,Professional Services / Contracts
10,HENSEL PHELPS CONSTRUCTION CO,168580044.0,136758048.8,2,81.1,Other Contracting,Professional Services / Contracts
11,"KIMLEY-HORN AND ASSOCIATES, INC",145000000.0,112667361.92,2,77.7,Sole and Single Source | Professional Services,Professional Services / Contracts
12,TEXAS ELECTRIC COOPERATIVES,142938212.5,142938212.5,1760,100.0,Goods / Commodities,Purchase Orders (Goods)
13,SILSBEE FORD INC,135416419.88,135416419.88,1053,100.0,Goods / Commodities,Purchase Orders (Goods)
14,SUN COAST RESOURCES INC,129156726.09,129156726.09,2159,100.0,Goods / Commodities,Purchase Orders (Goods)
15,MWH CONSTRUCTORS INC,116000852.0,116000852.0,1,100.0,Construction,Professional Services / Contracts
16,MATOUS CONSTRUCTION LTD,115264516.36,115264516.36,2,100.0,Construction,Professional Services / Contracts
17,"DEC - CENTRAL TEXAS, LLC",115000000.0,111460417.18,1,96.9,Sole and Single Source,Professional Services / Contracts
18,ALLIANCE TRANSPORTATION GROUP LLC,115000000.0,111460417.18,1,96.9,Sole and Single Source,Professional Services / Contracts
19,MOTOROLA SOLUTIONS INC,104820752.52,104820752.52,2685,100.0,Goods / Commodities,Purchase Orders (Goods)
20,K FRIESE & ASSOC INC,101858526.65,60011958.08,7,58.9,Sole and Single Source | Professional Services,Professional Services / Contracts
21,"H.W. LOCHNER, INC.",101858526.65,60011958.08,7,58.9,Sole and Single Source | Professional Services,Professional Services / Contracts
22,FLINTCO LLC,96591385.68,91915279.68,4,95.2,Construction | Other Contracting,Professional Services / Contracts
23,TECHLINE INC,95320219.08,95320219.08,4139,100.0,Goods / Commodities,Purchase Orders (Goods)
24,DOUCET & ASSOCIATES INC,92229999.9,65036659.699999996,6,70.5,Sole and Single Source | Professional Services,Professional Services / Contracts
25,DELL MARKETING LP,89430951.23,89430951.23,11329,100.0,Goods / Commodities,Purchase Orders (Goods)
26,"SIDDONS-MARTIN EMERGENCY GROUP, LLC",88727828.44,88727828.44,117,100.0,Goods / Commodities,Purchase Orders (Goods)
27,PINNACLE PETROLEUM INCORPORATED,86838700.61,86838700.61,1388,100.0,Goods / Commodities,Purchase Orders (Goods)
28,W W GRAINGER INC,86203592.24,86203592.24,25538,100.0,Goods / Commodities,Purchase Orders (Goods)
29,"RPS INFRASTRUCTURE, INC.",85500000.0,30984117.810000002,5,36.2,Professional Services | Sole and Single Source,Professional Services / Contracts
30,JACOBS ENGINEERING GROUP INC,77799999.9,45578069.59,6,58.6,Professional Services | Sole and Single Source,Professional Services / Contracts
31,DENUCCI CONSTRUCTORS L L C,63718684.87,57024792.8,6,89.5,Construction,Professional Services / Contracts
32,"PAPE-DAWSON CONSULTING ENGINEERS, LLC",60700000.0,16442469.18,4,27.1,Professional Services | Sole and Single Source,Professional Services / Contracts
33,"CAS CONSULTING AND SERVICES, INC.",58163146.34,38149776.63,5,65.6,Professional Services | Sole and Single Source,Professional Services / Contracts
34,T MORALES COMPANY ELECTRIC & CONTROLS LTD,57503644.09,57503644.09,2,100.0,Non-Professional Services | Construction,Professional Services / Contracts
35,MWM DESIGNGROUP INC,56700000.0,26736638.9,6,47.2,Sole and Single Source | Professional Services,Professional Services / Contracts
36,MASTEC NORTH AMERICA INC,56000000.0,42417026.39,2,75.7,Other Contracting | Construction,Professional Services / Contracts
37,KBS ELECTRICAL DISTRIBUTORS INC,55914859.03,55914859.03,1811,100.0,Goods / Commodities,Purchase Orders (Goods)
38,SANTA CLARA CONSTRUCTION LTD,54803109.29,44136876.64,10,80.5,Construction,Professional Services / Contracts
